['AHRR'],[[1.01086328]],[[1.41016546]],[[1.70378778]],[[1.52702111]],[[1.28359734]],[[1.29573436]],[[1.54050263]],[[1.70137881]],[[1.39589294]],[[0.57249454]],[[1.13183998]],[[2.47401332]],[[2.89824107]]
['HERC5'],[[1.03000818]],[[1.28646713]],[[1.16495209]],[[1.05490816]],[[0.92184667]],[[0.47244452]],[[0.41428584]],[[0.55239857]],[[0.52058036]],[[0.71517203]],[[0.55783076]],[[1.05871382]],[[0.7315648]]
['SLC27A2'],[[0.85251675]],[[1.65482037]],[[1.54314822]],[[1.53354847]],[[0.89051715]],[[0.19238227]],[[0.33928918]],[[0.8647974]],[[0.70534701]],[[0.82107341]],[[0.80211109]],[[1.15190943]],[[0.90584446]]
['RPL3L'],[[1.25016087]],[[1.03607428]],[[1.15705811]],[[0.67480166]],[[0.91648689]],[[1.09705955]],[[1.02035473]],[[1.22538927]],[[1.07655214]],[[0.56582356]],[[0.07099343]],[[0.18084548]],[[0.23833348]]
['MX1'],[[1.02227902]],[[1.13493403]],[[1.1110622]],[[0.99567265]],[[0.90757401]],[[0.67252671]],[[0.48687529]],[[0.5571761]],[[0.57742683]],[[0.74368749]],[[0.5854199]],[[1.15533352]],[[0.8391584]]
['BATF2'],[[1.02217444]],[[1.41950902]],[[1.32411729]],[[1.46690525]],[[1.34307431]],[[1.04018671]],[[0.47275517]],[[0.52593498]],[[0.49579257]],[[0.9168048]],[[1.14046816]],[[1.37539121]],[[1.32800139]]
['CXCL8'],[[0.99932562]],[[0.94074971]],[[1.02752784]],[[0.94470075]],[[0.71144891]],[[0.29326118]],[[0.26347655]],[[0.53197816]],[[0.4117623]],[[0.97581283]],[[0.83529424]],[[1.00302133]],[[0.78584165]]
['SDC2'],[[0.97060973]],[[1.7608613]],[[1.67880926]],[[1.4669051]],[[1.48961135]],[[0.98678226]],[[1.00764391]],[[1.14465094]],[[1.37631579]],[[1.36506973]],[[0.97972362]],[[1.25652605]],[[1.17260704]]
['TSPEAR'],[[0.62649747]],[[0.87092741]],[[0.84961858]],[[0.52714122]],[[0.75839772]],[[0.84991929]],[[0.86650295]],[[0.48117468]],[[0.3096499]],[[0.65848324]],[[1.04725806]],[[1.02666203]],[[0.89295465]]
['FUNDC2P2'],[[0.62649759]],[[1.41016575]],[[1.87712252]],[[0]],[[0]],[[0]],[[1.65424243]],[[1.36933787]],[[1.6452693]],[[1.14908489]],[[1.68422019]],[[2.33477646]],[[2.76196292]]
['RGS7'],[[0.72471566]],[[1.21793877]],[[2.07316901]],[[1.79493406]],[[0.69132465]],[[0.32971853]],[[0.65323217]],[[0.50819735]],[[0.88848012]],[[1.29940775]],[[0.88376423]],[[1.53607823]],[[1.0032985]]
['IFIT1'],[[0.98937955]],[[0.93720671]],[[0.87630951]],[[0.72700592]],[[0.61588619]],[[0.49588932]],[[0.43138072]],[[0.52922307]],[[0.5760946]],[[0.72331632]],[[0.45985712]],[[1.1023208]],[[0.71121296]]
['NEK5'],[[1.06186276]],[[0.87092766]],[[0.9192555]],[[1.86648275]],[[0.82249106]],[[1.19146199]],[[1.65424243]],[[1.63754502]],[[0]],[[0]],[[0.85269147]],[[1.49072175]],[[0.8949285]]
['FAM196B'],[[0.44630034]],[[0.35194422]],[[0.37522998]],[[0.91237507]],[[1.18951546]],[[1.0495382]],[[0]],[[0.43498124]],[[1.0454645]],[[0.49150474]],[[0.44594386]],[[0.50877149]],[[0.47415759]]
['MIR505'],[[1.06186247]],[[1.16559506]],[[1.87712212]],[[0.52714122]],[[0.46908191]],[[0.97297234]],[[1.28197618]],[[0.84137703]],[[0.84641147]],[[0.3834227]],[[1.25595975]],[[0.83869398]],[[0.59645443]]
['RPL31P52'],[[2.09182641]],[[2.10947854]],[[2.19047386]],[[2.17905402]],[[2.0263847]],[[1.19146194]],[[1.28197639]],[[1.63754507]],[[1.64526864]],[[1.14908475]],[[2.68537831]],[[1.45985761]],[[0.93769606]]
['HCG20'],[[1.82284897]],[[1.07390089]],[[1.75547274]],[[1.46690529]],[[0]],[[0.51394231]],[[0.96678433]],[[1.03961536]],[[1.47164764]],[[0.4915048]],[[0.72836042]],[[0.99564028]],[[0.7880299]]
['AC067945.1'],[[1.10541184]],[[0.83194448]],[[1.27222487]],[[1.26366433]],[[0.78513477]],[[0.27223834]],[[0.3726911]],[[0.68298968]],[[0.6300912]],[[0.86691553]],[[0.97964898]],[[1.00085274]],[[0.92809041]]
['AC015691.1'],[[1.53771516]],[[1.16559506]],[[1.69057183]],[[1.68048336]],[[0.82249088]],[[0.7153839]],[[1.05226905]],[[1.96462724]],[[1.37631595]],[[0.93606196]],[[0.56883586]],[[0.90031449]],[[1.03993384]]
['AC244502.1'],[[0.84211462]],[[0.53559445]],[[0.47788976]],[[0.6212953]],[[0.36349979]],[[0.20454147]],[[0.52285485]],[[0.61991642]],[[0.58972864]],[[0.51947131]],[[1.09532508]],[[1.05185544]],[[0.83755737]]
['RNU6-1294P'],[[2.09182641]],[[3.21542734]],[[3.02309701]],[[3.2959307]],[[0]],[[1.83498642]],[[2.40467318]],[[1.03961529]],[[1.64526864]],[[0]],[[1.70294629]],[[1.95025738]],[[1.71152476]]
['AC009054.1'],[[2.41967363]],[[0]],[[1.47626642]],[[2.17905402]],[[1.34307423]],[[1.19146194]],[[1.28197639]],[[1.03961529]],[[1.04546439]],[[2.55358835]],[[2.78111536]],[[2.28365909]],[[1.66730366]]
['AC026803.1'],[[2.09182641]],[[4.49504272]],[[3.30908673]],[[4.07711842]],[[4.1623747]],[[1.83498642]],[[3.02832052]],[[1.03961529]],[[2.06767046]],[[1.78050446]],[[3.01456751]],[[3.38693023]],[[2.79400167]]
['AC007598.1'],[[0.93081606]],[[0]],[[1.31337994]],[[1.12180349]],[[0.82249096]],[[0.5139422]],[[1.28197637]],[[1.15809528]],[[1.2742364]],[[1.14908485]],[[0.95071093]],[[1.26637074]],[[1.03773006]]
['SUB1P3'],[[0.69732897]],[[0.77436138]],[[0.81871402]],[[0.70496132]],[[0.28635963]],[[0.6324705]],[[0.49473553]],[[0.38031127]],[[0.20414617]],[[0.68604399]],[[0.0962874]],[[0.28118914]],[[0.33927132]]
['AP000365.1'],[[0.90311547]],[[0]],[[1.9454743]],[[1.46690533]],[[0.94271959]],[[0.32971853]],[[0]],[[0.88326389]],[[0.88848012]],[[0.79130478]],[[0.58388772]],[[1.02552126]],[[0.77860012]]
['AL022067.1'],[[0.62649753]],[[1.55284733]],[[0.91925513]],[[1.3880568]],[[1.66779862]],[[0.51394233]],[[0]],[[0.61149324]],[[0.43794888]],[[0.59205104]],[[0.56198234]],[[0.6272766]],[[0.75533579]]
['RNU6-94P'],[[1.06186257]],[[0.35194422]],[[0.6727352]],[[1.12180349]],[[1.01764334]],[[0.7153842]],[[0]],[[0.43498124]],[[0.23552911]],[[0.85744062]],[[0.36571391]],[[0.45679823]],[[0.55323652]]
['AC103724.4'],[[1.49195981]],[[1.68267907]],[[0]],[[1.12180349]],[[1.01764334]],[[1.19146211]],[[0.56290385]],[[0]],[[0.4379488]],[[0]],[[0.80890715]],[[0.8243144]],[[0.96383694]]
['AL139035.1'],[[2.09182641]],[[2.10947854]],[[2.66603655]],[[1.46690551]],[[2.0263847]],[[1.19146194]],[[1.94988518]],[[2.38480062]],[[2.39399917]],[[1.14908475]],[[2.55322462]],[[2.58720517]],[[2.49183976]]
