['PYCR3'],[[1.19243084]],[[0.35599453]],[[0.59380512]],[[0.54424328]],[[0.74729041]],[[0.77984804]],[[0.78672709]],[[0.89819899]],[[1.11153948]],[[1.11788623]],[[1.05488908]],[[1.19230701]],[[0.98202341]]
['OLFM2'],[[0.96872476]],[[0.28809101]],[[0.26542664]],[[0.24876571]],[[0.28115563]],[[0.39690554]],[[0.55355197]],[[0.66370224]],[[0.91585915]],[[0.95128507]],[[0.87905674]],[[1.10245553]],[[1.02499026]]
['CLC'],[[0.90771724]],[[1.07347897]],[[1.04900432]],[[0.9857738]],[[0.72577356]],[[0.16423087]],[[0.2589837]],[[0.4757983]],[[0.55737178]],[[0.91943613]],[[0.68588545]],[[0.87914553]],[[0.7790127]]
['SIGLEC6'],[[0.93801827]],[[0.43187368]],[[0.12935433]],[[0.16839725]],[[0.28179572]],[[0.39542391]],[[0.63467992]],[[0.65456532]],[[0.95111047]],[[1.03338563]],[[0.82277043]],[[0.99461631]],[[0.73218239]]
['SLC5A5'],[[0.91108404]],[[0.47993911]],[[0.22618867]],[[0.1163827]],[[0.44988537]],[[0.68827217]],[[0.80731192]],[[0.68099518]],[[1.2124889]],[[0.90289013]],[[1.08086617]],[[1.05754933]],[[1.07325639]]
['LSR'],[[0.98830922]],[[0.36403253]],[[0.46901677]],[[0.32838024]],[[0.40691475]],[[0.54866063]],[[0.66616872]],[[0.90814]],[[1.10719712]],[[1.0655356]],[[0.91845174]],[[1.186797]],[[1.03479194]]
['AGFG2'],[[1.07206991]],[[0.31694075]],[[0.29597985]],[[0.28973276]],[[0.388414]],[[0.4698167]],[[0.51528021]],[[0.55874528]],[[0.83436209]],[[0.83356742]],[[0.91789287]],[[1.11669152]],[[0.94122915]]
['AEBP1'],[[0.99053322]],[[0.52606929]],[[0.63234781]],[[0.40786289]],[[0.45417339]],[[0.37978486]],[[0.60542649]],[[0.87508573]],[[1.13015646]],[[0.92753503]],[[0.80889682]],[[1.17725264]],[[0.98871891]]
['KCNT1'],[[1.8949391]],[[0]],[[0.9192555]],[[0]],[[1.34307458]],[[0.71538425]],[[0.77893151]],[[0]],[[1.04546451]],[[2.0159008]],[[2.15039732]],[[2.64107459]],[[2.51107861]]
['APBA1'],[[0.93081607]],[[0.50020964]],[[0.37522979]],[[0.3718901]],[[0.53432693]],[[0.80645337]],[[0.87591332]],[[0.76874461]],[[1.16438014]],[[0.73083977]],[[1.3341787]],[[1.64628663]],[[1.5860489]]
['NEURL1'],[[1.27272696]],[[0.31236839]],[[0.49409662]],[[0.30907524]],[[0.68559177]],[[1.37374699]],[[1.31694152]],[[1.10007124]],[[1.22720025]],[[1.12411479]],[[1.56323418]],[[1.7692143]],[[1.57905718]]
['RNF43'],[[1.04194603]],[[0.38444935]],[[0.35773462]],[[0.24575602]],[[0.31344383]],[[0.22518409]],[[0.4212543]],[[0.68812034]],[[0.92297876]],[[0.62739649]],[[0.64663028]],[[0.94420165]],[[0.81611982]]
['CNTNAP1'],[[0.84987624]],[[0.40718982]],[[0.60967723]],[[0.36650611]],[[0.46250205]],[[0.39582889]],[[0.62276955]],[[0.78815219]],[[1.0576056]],[[0.8468044]],[[1.17592595]],[[1.52566079]],[[1.24894513]]
['MPP2'],[[1.61658718]],[[0.22128026]],[[0.61794083]],[[0.43600884]],[[0.38668151]],[[1.34517414]],[[1.44257825]],[[1.03961529]],[[1.48998096]],[[1.36907655]],[[1.23367465]],[[1.60560268]],[[1.47330756]]
['DPH1'],[[1.18527987]],[[0.57665053]],[[0.65923083]],[[0.59491336]],[[0.55782868]],[[0.530829]],[[0.57615941]],[[0.87142004]],[[0.93223249]],[[0.84817619]],[[1.05143884]],[[1.17859899]],[[1.04254733]]
['TRIM2'],[[0.95028166]],[[0.37408089]],[[0.59380508]],[[0.39511828]],[[0.46908189]],[[0.6745227]],[[0.86245129]],[[0.91534238]],[[1.00506149]],[[0.86893786]],[[1.29366541]],[[1.4830812]],[[1.32158032]]
['P3H3'],[[1.10809026]],[[0.39046333]],[[0.15236821]],[[0.28751403]],[[0.46908195]],[[0.78421942]],[[0.70166166]],[[1.29369972]],[[1.13555778]],[[0.99233865]],[[1.4140657]],[[1.70377707]],[[1.66864519]]
['PRPF40B'],[[0.85077591]],[[0.54888506]],[[0.50331847]],[[0.41552426]],[[0.33694068]],[[0.58240538]],[[0.70665868]],[[0.76066865]],[[0.97685635]],[[0.90892386]],[[0.98728178]],[[1.1486821]],[[1.01906451]]
['BCL7A'],[[0.95199943]],[[0.52811821]],[[0.38255353]],[[0.49739876]],[[0.47204526]],[[0.57508128]],[[0.58347118]],[[0.75544031]],[[0.94272829]],[[1.02027583]],[[0.75423992]],[[0.89271174]],[[0.71027676]]
['ENO2'],[[0.98953428]],[[0.43981317]],[[0.46167206]],[[0.38968164]],[[0.45396868]],[[0.54604666]],[[0.78916606]],[[1.00506856]],[[1.26081642]],[[0.97547506]],[[0.93032018]],[[1.08948022]],[[0.93355094]]
['C12orf57'],[[1.10597083]],[[0.46111405]],[[0.45947525]],[[0.4134097]],[[0.50079725]],[[0.60972476]],[[0.6923192]],[[0.79676897]],[[1.03014871]],[[1.08267172]],[[0.952406]],[[1.20781592]],[[1.01782883]]
['PHC1'],[[1.00959653]],[[0.29919478]],[[0.29911796]],[[0.34607427]],[[0.34471148]],[[0.43371548]],[[0.64036151]],[[0.7658344]],[[0.95951166]],[[0.86608627]],[[0.87188111]],[[0.99700313]],[[0.89367692]]
['BACH2'],[[0.91009038]],[[0.48129944]],[[0.53903019]],[[0.49656381]],[[0.42770699]],[[0.42093102]],[[0.55446386]],[[0.80471053]],[[0.94050812]],[[0.84843419]],[[0.7340552]],[[0.80144331]],[[0.69721809]]
['KHDRBS2'],[[0.93523457]],[[0.61798906]],[[0.70701302]],[[0.64995918]],[[0.37569801]],[[0.45704579]],[[0.35287929]],[[1.03961566]],[[0.99666624]],[[0.77152248]],[[0.9085642]],[[0.92731206]],[[0.74413163]]
['SLC16A10'],[[0.70370766]],[[0.41723757]],[[0.24542174]],[[0.36238434]],[[0.2682303]],[[0.27236873]],[[0.42148905]],[[0.74617833]],[[0.81270984]],[[0.84994817]],[[0.56810531]],[[0.6424082]],[[0.608659]]
['CCR6'],[[1.10088911]],[[0.38444935]],[[0.24805884]],[[0.18812931]],[[0.21633736]],[[0.22518409]],[[0.77893125]],[[0.53056702]],[[0.83513386]],[[0.7966378]],[[0.84593542]],[[0.99178733]],[[0.69834739]]
['DNPH1'],[[0.90916795]],[[0.48484972]],[[0.35518746]],[[0.27806119]],[[0.53047897]],[[0.83904519]],[[0.77166124]],[[0.80770329]],[[0.80201902]],[[0.98767596]],[[0.98324945]],[[1.15575328]],[[1.07164113]]
['SLC29A1'],[[0.94336729]],[[0.19893007]],[[0.21283054]],[[0.23441333]],[[0.33060061]],[[0.51977333]],[[0.50769454]],[[0.55377588]],[[0.59084953]],[[0.84779932]],[[0.96680649]],[[1.17944975]],[[1.06364769]]
['RASGRF2'],[[0.87689496]],[[0.42692899]],[[0.41517269]],[[0.47197191]],[[0.34449168]],[[0.38749683]],[[0.58023968]],[[0.77373396]],[[0.88097064]],[[0.82368465]],[[0.90584196]],[[0.93915098]],[[0.82683907]]
['PLXNA1'],[[1.08812188]],[[0.28431955]],[[0.36246585]],[[0.327071]],[[0.30044273]],[[0.48454326]],[[0.67909789]],[[0.70129511]],[[1.0310907]],[[0.92720618]],[[0.93642719]],[[1.17796241]],[[1.00345836]]
['ZAP70'],[[1.23619914]],[[0.46078619]],[[0.39809448]],[[0.37582743]],[[0.48512638]],[[0.4689184]],[[0.5822518]],[[0.62462077]],[[0.89276201]],[[0.84915672]],[[1.00749158]],[[1.17559683]],[[1.02388039]]
