['AHRR'],[[1.08847485]],[[1.66164045]],[[0.71097548]],[[1.58383991]],[[1.46949052]],[[0.91844294]],[[1.53936003]],[[0.91976762]],[[0.60318523]],[[0.89070547]],[[0.99820993]],[[1.21614847]],[[2.85797668]]
['HERC5'],[[0.9561085]],[[1.02932748]],[[1.1859586]],[[1.18823236]],[[1.175022]],[[0.63961689]],[[0.57893727]],[[0.69482746]],[[0.56791118]],[[0.72900333]],[[1.00064177]],[[1.0080773]],[[1.22160957]]
['SLC27A2'],[[1.39074848]],[[3.09461639]],[[3.17393862]],[[2.5028985]],[[1.27225806]],[[0.48597639]],[[0.54359213]],[[0.72993801]],[[0.8722431]],[[1.46308323]],[[1.44398943]],[[1.00208258]],[[1.49931277]]
['RPL3L'],[[1.53652722]],[[1.25760746]],[[1.17243493]],[[1.20233072]],[[1.13372001]],[[0.58560367]],[[0.425672]],[[1.16015547]],[[0.98057374]],[[0.18556622]],[[0.35676637]],[[0.70204192]],[[0.94569794]]
['MX1'],[[0.98373]],[[0.92315462]],[[0.9161014]],[[0.99105546]],[[0.92828016]],[[0.8466638]],[[0.61582529]],[[0.73407958]],[[0.74922373]],[[0.81414899]],[[1.17052473]],[[1.04959423]],[[1.24051792]]
['BATF2'],[[1.16507813]],[[2.68223464]],[[2.65780244]],[[2.4122731]],[[1.94545794]],[[1.01504624]],[[0.83236927]],[[0.99472027]],[[0.92655624]],[[0.92927798]],[[1.33873028]],[[1.03187249]],[[1.40697156]]
['CXCL8'],[[1.36695377]],[[0.95841797]],[[0.83502667]],[[0.72339384]],[[0.54417663]],[[0.20134795]],[[0.17887294]],[[0.1204452]],[[0.16750176]],[[1.107299]],[[1.1241689]],[[1.10196274]],[[0.77101819]]
['SDC2'],[[1.62000868]],[[2.35918875]],[[2.17551958]],[[2.54035997]],[[2.06510157]],[[0.4479721]],[[0.69954858]],[[0.79049138]],[[1.0438539]],[[1.43139499]],[[1.45118486]],[[1.31123646]],[[1.7013329]]
['TSPEAR'],[[0.80491393]],[[1.41111456]],[[1.46460786]],[[1.62841871]],[[1.51720455]],[[1.32813798]],[[0.80455423]],[[0.23058095]],[[0.40907235]],[[0.42950395]],[[0.85375919]],[[0.85897378]],[[0.76445142]]
['FUNDC2P2'],[[0.68554123]],[[0]],[[0.65372008]],[[0]],[[0.51057513]],[[0]],[[0]],[[1.1601552]],[[0.69855646]],[[1.21271098]],[[1.36238244]],[[1.7033226]],[[1.88271734]]
['RGS7'],[[1.23375887]],[[1.02173702]],[[1.54138178]],[[1.42344121]],[[0.30556068]],[[0]],[[0]],[[0.18548805]],[[0.60318522]],[[0.98265176]],[[0.58376932]],[[0.50372573]],[[0.72109272]]
['IFIT1'],[[0.8860155]],[[1.14112121]],[[1.10714214]],[[1.02738884]],[[0.95256214]],[[0.43778817]],[[0.38115622]],[[0.7202287]],[[0.63546406]],[[0.70415058]],[[1.02342317]],[[0.95747075]],[[1.29078282]]
['NEK5'],[[0]],[[1.16120041]],[[1.54138169]],[[1.53232979]],[[0.77205153]],[[1.22349102]],[[0]],[[0]],[[1.35456489]],[[0.79249756]],[[0]],[[0.50372567]],[[0.7361776]]
['FAM196B'],[[0.42002143]],[[1.16120064]],[[0]],[[0.70561701]],[[0.43706611]],[[0.73773487]],[[1.24658555]],[[0]],[[0.33288935]],[[0]],[[0.24736249]],[[0.27373699]],[[0.53812687]]
['MIR505'],[[1.00995081]],[[1.91914117]],[[0.77949052]],[[0.96070677]],[[1.64297384]],[[1.80872878]],[[0.7539435]],[[0]],[[1.11629846]],[[0]],[[0.64256785]],[[0.9562119]],[[0.67343494]]
['RPL31P52'],[[0.74493164]],[[0.6944054]],[[0.96743865]],[[1.36575139]],[[0.77205146]],[[0.73773487]],[[1.24658555]],[[0.69368292]],[[0.33288935]],[[0.79249799]],[[0.80582072]],[[0.50372567]],[[0.23544938]]
['HCG20'],[[0.32591661]],[[1.51331506]],[[1.65515638]],[[1.75088861]],[[1.64297384]],[[0.58560388]],[[0.42567203]],[[1.34682558]],[[1.11629846]],[[1.06908793]],[[0.64256785]],[[0.70204195]],[[0.70774865]]
['AC067945.1'],[[1.14835551]],[[1.64747568]],[[2.15033796]],[[2.1240748]],[[2.20453266]],[[1.29392023]],[[1.34732036]],[[1.34682558]],[[1.19199857]],[[1.17812324]],[[1.46857339]],[[1.28785833]],[[1.47668362]]
['AC015691.1'],[[2.18537389]],[[1.51331464]],[[1.28276509]],[[0.96070679]],[[2.39126642]],[[1.58624412]],[[1.61314858]],[[0.69368286]],[[0]],[[0]],[[1.08556749]],[[1.81032899]],[[1.78833006]]
['AC244502.1'],[[0.88029127]],[[1.38175793]],[[1.47641938]],[[1.29514339]],[[1.43766858]],[[0.42429732]],[[0.63456064]],[[0.88228149]],[[0.66784457]],[[1.14093461]],[[0.94905908]],[[0.95051652]],[[0.72937974]]
['RNU6-1294P'],[[0.59160369]],[[0.9466001]],[[2.40575951]],[[2.51886594]],[[2.39126642]],[[0]],[[1.24658548]],[[2.0310548]],[[1.35456489]],[[0]],[[1.08556749]],[[1.17223841]],[[1.21515033]]
['AC009054.1'],[[1.33386061]],[[1.91914117]],[[0]],[[1.27464628]],[[2.06510145]],[[1.00096164]],[[1.44147816]],[[0.94569078]],[[0.83074229]],[[0.63138654]],[[1.42401667]],[[0.9562119]],[[0.70673728]]
['AC026803.1'],[[1.27463685]],[[1.84659877]],[[1.4434255]],[[2.13964876]],[[2.60772386]],[[1.37969521]],[[1.24658556]],[[0.31841858]],[[1.16720394]],[[1.67636325]],[[0.92430366]],[[1.81032928]],[[1.25050133]]
['AC007598.1'],[[1.82154911]],[[1.51331492]],[[1.54138183]],[[1.94065142]],[[1.04372571]],[[1.00096164]],[[1.50100046]],[[1.70656451]],[[0.33288935]],[[0.79249799]],[[1.20742128]],[[1.89381199]],[[1.15278568]]
['SUB1P3'],[[0.74493164]],[[1.16120064]],[[1.54138183]],[[1.17739755]],[[1.27225775]],[[1.41623956]],[[1.24658555]],[[1.02077752]],[[0.60318527]],[[1.30108512]],[[0.45845565]],[[0.27373699]],[[0.78134498]]
['AP000365.1'],[[1.00995049]],[[1.79612817]],[[0.56333679]],[[1.36575139]],[[1.27225775]],[[1.58624455]],[[1.24658555]],[[1.16015519]],[[0.8307422]],[[0.79249799]],[[0.80582072]],[[1.03187236]],[[0.75934583]]
['AL022067.1'],[[1.65737209]],[[2.43424064]],[[2.50014135]],[[2.83808652]],[[3.0295281]],[[1.17099349]],[[1.24658553]],[[1.25650726]],[[0.98057382]],[[1.54680097]],[[1.26469404]],[[0.95621174]],[[1.13689841]]
['RNU6-94P'],[[1.71419927]],[[0.94660075]],[[1.65515638]],[[1.94065158]],[[2.23738216]],[[1.80872878]],[[1.44147816]],[[1.16015521]],[[0.83074229]],[[1.67636338]],[[0.35676647]],[[0.70204195]],[[0.85959713]]
['AC103724.4'],[[1.18097709]],[[1.25760752]],[[0.77949052]],[[0.96070677]],[[1.37424227]],[[0]],[[0.42567203]],[[0.38813849]],[[0.47435829]],[[1.06908793]],[[0.64256785]],[[0]],[[0.87046304]]
['AL139035.1'],[[0.88351793]],[[1.91914095]],[[1.28276517]],[[1.17739755]],[[0.43706611]],[[0.41551851]],[[1.37939391]],[[1.40404185]],[[1.02724856]],[[1.30108512]],[[1.20742128]],[[1.03187236]],[[0.92264464]]
