['NDUFAF7'],[[0.85858722]],[[1.675768]],[[1.45540734]],[[1.64338809]],[[1.81252965]],[[1.70256956]],[[1.15357764]],[[1.0468591]],[[0.91886617]],[[1.05818211]],[[1.01527761]],[[1.03927749]],[[0.9626917]]
['SEMA3C'],[[1.11897957]],[[1.64385226]],[[1.66734322]],[[1.53233036]],[[1.37324062]],[[1.35310477]],[[1.23236881]],[[0.88403861]],[[1.15014837]],[[1.23112924]],[[0.95576923]],[[1.13084439]],[[0.93100708]]
['ARHGAP15'],[[0.8605229]],[[1.67593926]],[[1.7301799]],[[1.79044556]],[[2.0445187]],[[1.78272314]],[[1.34152645]],[[0.93499003]],[[0.70859155]],[[0.95482199]],[[0.86743036]],[[0.89724037]],[[0.89295896]]
['PAG1'],[[0.96005904]],[[1.40430644]],[[1.43918374]],[[1.54758862]],[[1.86986781]],[[1.87113881]],[[1.50289441]],[[1.13636518]],[[1.02554147]],[[0.92495439]],[[0.97167688]],[[0.98464822]],[[0.93179907]]
['PPP1R12B'],[[0.89696943]],[[1.99146802]],[[1.89341125]],[[1.88439164]],[[1.76343559]],[[1.20597183]],[[0.85872368]],[[0.89175826]],[[0.90602129]],[[1.2665011]],[[0.86574411]],[[0.9380915]],[[0.89400363]]
['NEBL'],[[1.45313036]],[[3.43338162]],[[3.38089262]],[[3.6270414]],[[3.24676632]],[[2.55179183]],[[0.66751928]],[[0.23438124]],[[1.07880509]],[[2.04874025]],[[1.46648242]],[[1.17223886]],[[4.56555341]]
['TP53INP2'],[[1.13489777]],[[2.23362192]],[[2.11233681]],[[2.22199861]],[[1.97657839]],[[0.96077261]],[[0.72333248]],[[0.81574104]],[[0.87930498]],[[1.13898008]],[[1.24294887]],[[1.20001147]],[[1.26669669]]
['RFX3'],[[0.9636573]],[[2.05466622]],[[2.10375287]],[[2.11309665]],[[2.270113]],[[1.51608432]],[[1.17008571]],[[1.06681219]],[[1.05664219]],[[1.27499962]],[[0.92718219]],[[0.9429387]],[[1.05067761]]
['RAB21'],[[0.93427509]],[[1.49785984]],[[1.6627019]],[[1.61644045]],[[1.76663391]],[[1.38225207]],[[1.19268376]],[[1.05081906]],[[0.96688328]],[[1.10674727]],[[0.93755365]],[[1.03422283]],[[0.97129538]]
['PSEN1'],[[0.93498844]],[[1.65832251]],[[1.69105936]],[[1.67741983]],[[1.68389286]],[[1.56139806]],[[1.30009248]],[[1.14382023]],[[1.03127428]],[[1.1338867]],[[1.01595623]],[[1.04544134]],[[1.07056663]]
['PHLPP1'],[[0.92655163]],[[1.84002569]],[[1.81503876]],[[1.83076544]],[[1.71413762]],[[1.56084005]],[[1.14539406]],[[1.06835845]],[[0.85831418]],[[1.08357529]],[[0.92100965]],[[1.02454364]],[[1.03848855]]
['RNF13'],[[0.85722581]],[[1.6452208]],[[1.70768102]],[[1.68453208]],[[1.77992131]],[[1.45976553]],[[1.08042583]],[[0.82381121]],[[0.76193226]],[[1.15944239]],[[0.87639824]],[[0.91701595]],[[0.91190464]]
['KAT6A'],[[0.92721144]],[[1.50467638]],[[1.57593255]],[[1.7473386]],[[2.00309202]],[[1.6890257]],[[1.2980351]],[[1.00687119]],[[0.82805036]],[[1.00117845]],[[0.98484766]],[[1.02325651]],[[1.01699183]]
['ZCCHC6'],[[0.91527377]],[[1.75630349]],[[1.74842165]],[[1.79617311]],[[1.87070368]],[[1.65425879]],[[1.32103655]],[[1.03918972]],[[0.89873627]],[[1.16542371]],[[0.99226182]],[[0.99157922]],[[0.94239381]]
['ZNF586'],[[0.95522451]],[[1.75153521]],[[1.64358275]],[[1.70402532]],[[1.74023325]],[[1.47152863]],[[1.21302703]],[[0.95972661]],[[0.84468316]],[[1.11577791]],[[0.85600882]],[[0.92353781]],[[0.90411255]]
['CHMP2B'],[[0.87145496]],[[1.40691846]],[[1.4952117]],[[1.45898723]],[[1.63801184]],[[1.48388331]],[[1.12037675]],[[0.94023081]],[[0.79631141]],[[0.94989082]],[[0.80737911]],[[0.90428657]],[[0.88619495]]
['NCOA1'],[[0.88338709]],[[1.26870554]],[[1.21367046]],[[1.28389737]],[[1.51667725]],[[1.47598987]],[[1.28398024]],[[1.04827448]],[[0.91021022]],[[1.17908375]],[[0.98080904]],[[0.96546201]],[[0.96758772]]
['SLC25A24'],[[0.86515029]],[[0.96564968]],[[1.07617279]],[[1.04231924]],[[1.24633719]],[[1.68552752]],[[1.33887392]],[[1.21064234]],[[1.12153705]],[[1.05370969]],[[0.90787098]],[[0.84888681]],[[1.01047798]]
['PPEF1'],[[0.90227206]],[[1.51331507]],[[2.00092971]],[[1.77957426]],[[1.64297375]],[[1.16333517]],[[1.07813692]],[[0.99971983]],[[1.12858278]],[[1.10460313]],[[0.71480633]],[[0.82866836]],[[0.80693046]]
['PPP1R15A'],[[0.94978166]],[[1.59497476]],[[1.58809026]],[[1.71300382]],[[1.78717426]],[[1.58501743]],[[1.19863857]],[[1.02945403]],[[0.91363073]],[[1.02015214]],[[1.13369202]],[[1.08257442]],[[1.11854808]]
['ERGIC2'],[[0.96017519]],[[1.44418994]],[[1.43350287]],[[1.534521]],[[1.6711735]],[[1.30994576]],[[1.06059885]],[[1.00178801]],[[0.88473263]],[[1.11992305]],[[0.91156478]],[[1.04159917]],[[0.94979204]]
['SPTLC1'],[[0.92460836]],[[1.40785318]],[[1.40307133]],[[1.50783887]],[[1.6096812]],[[1.46036198]],[[1.24471713]],[[1.10378549]],[[1.00613443]],[[1.04008153]],[[0.94024685]],[[0.99682079]],[[1.00428951]]
['SLC7A8'],[[0.99212603]],[[4.27878851]],[[4.33798374]],[[4.27757049]],[[4.01545452]],[[1.01846059]],[[0.60310496]],[[0.62490909]],[[0.7352263]],[[0.73948246]],[[1.14926477]],[[0.86833031]],[[1.2962218]]
['MAST3'],[[0.9954032]],[[1.83244049]],[[1.81127675]],[[1.88344979]],[[1.85464473]],[[1.52464992]],[[1.29182853]],[[1.14139301]],[[1.04725577]],[[1.16311328]],[[1.06271431]],[[1.0708583]],[[1.07775945]]
['MKNK2'],[[0.9725706]],[[1.55929076]],[[1.62988756]],[[1.69596136]],[[1.71864016]],[[1.33006643]],[[1.06290298]],[[1.03168693]],[[1.04005376]],[[1.34747447]],[[1.02483995]],[[1.03417756]],[[0.98522494]]
['RBM23'],[[0.97714442]],[[1.60512842]],[[1.63577073]],[[1.65412445]],[[1.70557606]],[[1.49112503]],[[1.18212725]],[[1.02927349]],[[0.90432145]],[[1.06908767]],[[1.01646788]],[[1.03445196]],[[0.97027658]]
['NIN'],[[0.9362696]],[[1.63281225]],[[1.64284268]],[[1.68157363]],[[1.68044858]],[[1.61563834]],[[1.3351706]],[[1.10008194]],[[0.97859472]],[[1.13800341]],[[0.98279332]],[[1.03991146]],[[0.94328591]]
['SUSD6'],[[0.9255573]],[[1.57703041]],[[1.60751365]],[[1.6307048]],[[1.6450087]],[[1.54269508]],[[1.26894269]],[[1.11012756]],[[0.91792349]],[[1.06770356]],[[1.0657706]],[[1.05465023]],[[0.98867916]]
['GMPR2'],[[0.91943382]],[[1.40612698]],[[1.33880564]],[[1.56774457]],[[1.67736884]],[[1.58744259]],[[1.23248441]],[[1.08893677]],[[1.03090433]],[[1.00171638]],[[1.03971931]],[[1.04757526]],[[0.95529956]]
['MAP1LC3A'],[[1.16747405]],[[2.13121963]],[[1.99476743]],[[1.91070755]],[[1.9867674]],[[0.52414738]],[[0.67860966]],[[0.98372254]],[[1.06128948]],[[1.0847333]],[[1.1853438]],[[1.12982313]],[[1.36724687]]
['TBL1X'],[[0.92861053]],[[1.64007677]],[[1.65323567]],[[1.66464508]],[[1.60489911]],[[1.44701695]],[[1.16860493]],[[1.02616747]],[[0.91304061]],[[1.10205407]],[[0.9844152]],[[1.02552645]],[[0.96605794]]
['FNDC3A'],[[0.90042866]],[[1.75422857]],[[1.79507435]],[[1.733713]],[[1.7028734]],[[1.23136966]],[[1.07755995]],[[0.97313427]],[[0.91143113]],[[1.08480937]],[[0.9224026]],[[1.00087572]],[[0.93729441]]
['KLF5'],[[1.04974684]],[[2.06329706]],[[2.15623922]],[[2.05978124]],[[1.74802627]],[[1.90064463]],[[1.42107853]],[[1.16015514]],[[1.29040798]],[[1.35122842]],[[1.14487795]],[[1.31176183]],[[1.1452173]]
['PARP4'],[[1.01533646]],[[2.61918833]],[[2.60194236]],[[2.57696423]],[[2.41236602]],[[1.74947373]],[[1.29640994]],[[1.06988735]],[[1.03290176]],[[1.05414458]],[[1.02745105]],[[1.03570083]],[[1.0052405]]
['SUPT20H'],[[0.93948326]],[[1.64520596]],[[1.71322388]],[[1.76553064]],[[1.9923697]],[[1.6199095]],[[1.29345861]],[[1.04530203]],[[0.93736492]],[[1.0896549]],[[0.98020612]],[[0.99888224]],[[0.96929494]]
['INTS6'],[[0.94543742]],[[1.61391365]],[[1.6698104]],[[1.75846691]],[[1.9084903]],[[1.49297395]],[[1.16056976]],[[1.04899528]],[[0.95259137]],[[1.17079819]],[[0.95412804]],[[0.98818684]],[[0.92033102]]
['DHRS12'],[[1.07056857]],[[1.71146693]],[[1.77114265]],[[1.81319095]],[[2.05517576]],[[1.80658347]],[[1.32263392]],[[1.10267843]],[[0.92600191]],[[1.02606768]],[[1.04209564]],[[1.07742542]],[[1.10236402]]
['LYRM1'],[[1.04837354]],[[1.8015056]],[[1.85288722]],[[1.98232067]],[[2.12115524]],[[1.56818829]],[[1.33707783]],[[1.18593723]],[[1.04003849]],[[1.12264367]],[[1.08911932]],[[1.10130776]],[[0.97224544]]
['LONP2'],[[1.01611045]],[[2.01327006]],[[2.03131889]],[[2.08889185]],[[2.115386]],[[1.16025134]],[[0.97750954]],[[0.95597218]],[[0.91644995]],[[0.98688569]],[[1.00420629]],[[0.98416546]],[[0.9828999]]
['N4BP1'],[[0.90332673]],[[1.47863664]],[[1.51614622]],[[1.54386041]],[[1.59284405]],[[1.63576547]],[[1.28159212]],[[1.01198468]],[[0.76585135]],[[1.04502486]],[[0.96965936]],[[1.00845777]],[[0.97746722]]
['USP10'],[[0.99248319]],[[2.12517051]],[[2.15700196]],[[2.10733936]],[[2.11806613]],[[1.4859003]],[[1.11355844]],[[1.10017198]],[[0.98663596]],[[1.07295027]],[[0.95571425]],[[1.02295104]],[[0.79450756]]
['BCKDK'],[[1.10294948]],[[1.85084779]],[[1.85709473]],[[1.83211048]],[[1.68017715]],[[1.4670909]],[[1.24210315]],[[1.15515995]],[[1.24702154]],[[1.16375554]],[[1.10251143]],[[1.1151853]],[[1.01792545]]
['NBN'],[[0.87665016]],[[1.98220265]],[[1.9572024]],[[1.92422599]],[[1.92494955]],[[1.26028998]],[[1.30277139]],[[1.15502909]],[[0.87708366]],[[0.99448049]],[[0.94147433]],[[1.00875593]],[[0.94040822]]
['UBE2W'],[[0.88435023]],[[1.45477356]],[[1.6382186]],[[1.62527799]],[[1.94744249]],[[1.64313555]],[[1.40104288]],[[1.09108294]],[[0.9511992]],[[1.09535296]],[[0.88633594]],[[0.99980505]],[[0.85491369]]
['EMC2'],[[0.96881447]],[[1.23902635]],[[1.32526689]],[[1.46112448]],[[1.91032517]],[[1.46663776]],[[1.23167947]],[[1.03555762]],[[0.89040283]],[[1.26249929]],[[0.92170311]],[[1.01984924]],[[0.91836821]]
['ERI1'],[[0.77817803]],[[0.9345131]],[[1.06014506]],[[1.2499743]],[[1.68487741]],[[1.34132264]],[[1.08868472]],[[0.90365087]],[[0.86322928]],[[1.05152277]],[[0.75219507]],[[0.96024735]],[[0.97137492]]
['CCDC9'],[[1.12709217]],[[1.38181872]],[[1.5026165]],[[1.55652482]],[[1.75423301]],[[1.46636766]],[[1.04580883]],[[1.02243125]],[[0.96787299]],[[0.95622019]],[[1.08925992]],[[1.15397288]],[[1.09753925]]
['ELL'],[[0.99802295]],[[1.64707663]],[[1.63539047]],[[1.65407879]],[[1.70091462]],[[1.53265395]],[[1.16143365]],[[1.12165142]],[[1.01084478]],[[1.06555499]],[[1.0432438]],[[1.07610316]],[[1.01777542]]
['HBP1'],[[0.95966462]],[[1.69066971]],[[1.75947566]],[[1.69001235]],[[1.7338585]],[[1.31775879]],[[1.04212771]],[[0.93312739]],[[0.81052383]],[[1.14016245]],[[0.97277316]],[[0.98363338]],[[0.91542966]]
['ZC3HAV1'],[[1.0560315]],[[1.92708196]],[[2.02025371]],[[2.19498933]],[[2.47192532]],[[1.39789549]],[[0.99230394]],[[1.04173249]],[[1.10829838]],[[1.28478452]],[[1.02137622]],[[1.02204275]],[[1.02504564]]
['COA1'],[[1.08594624]],[[2.05970246]],[[2.01357896]],[[2.00811643]],[[2.05523767]],[[0.93848146]],[[0.83760936]],[[0.91576276]],[[0.97704108]],[[1.05340199]],[[0.95964846]],[[0.94848743]],[[0.9991928]]
['SHOC2'],[[0.89785862]],[[1.46730678]],[[1.56089743]],[[1.58074688]],[[1.72517398]],[[1.52982902]],[[1.26648583]],[[1.04024891]],[[1.00474976]],[[1.46811565]],[[0.94757902]],[[0.95358462]],[[0.93442233]]
['TSPAN14'],[[1.0439278]],[[2.09975453]],[[2.11809449]],[[2.19513152]],[[2.16976582]],[[1.64711598]],[[1.30762143]],[[1.18010289]],[[1.15820927]],[[1.08611055]],[[1.05377589]],[[1.04107666]],[[1.07776724]]
['NUFIP2'],[[0.82144038]],[[1.25078433]],[[1.33404964]],[[1.52338012]],[[1.85774603]],[[1.43191335]],[[1.21153707]],[[0.99381163]],[[0.87053779]],[[0.97699625]],[[0.92379565]],[[0.97714801]],[[0.9167921]]
['RAPGEFL1'],[[1.09154401]],[[1.83307646]],[[1.72438806]],[[1.82343046]],[[1.71974811]],[[1.83440013]],[[1.38257799]],[[1.2151728]],[[1.18121071]],[[1.21682633]],[[1.10460901]],[[1.02816323]],[[1.10311545]]
['MLX'],[[0.98668036]],[[2.09294008]],[[2.09900495]],[[2.05618974]],[[1.86584942]],[[1.42155452]],[[1.21061276]],[[1.14056961]],[[1.10833625]],[[1.07165632]],[[1.01820796]],[[1.04966731]],[[1.02843543]]
['IFT20'],[[1.04129228]],[[1.48793049]],[[1.58057017]],[[1.63619653]],[[1.78395549]],[[1.35185638]],[[1.10236572]],[[1.21268669]],[[1.26643339]],[[1.59070574]],[[1.14327848]],[[1.1423074]],[[1.0363412]]
['PHF12'],[[1.01413332]],[[1.66626049]],[[1.60477833]],[[1.67401509]],[[1.70743183]],[[1.55080731]],[[1.18782148]],[[1.04823588]],[[0.98498657]],[[1.08209344]],[[1.06012919]],[[1.07180001]],[[0.9610958]]
['ELF2'],[[0.92858785]],[[1.72912665]],[[1.75565294]],[[1.79554601]],[[2.09960106]],[[1.50953763]],[[1.15233536]],[[1.01483076]],[[0.93812451]],[[1.28259106]],[[0.98394753]],[[1.0179686]],[[0.98802162]]
['NUP98'],[[0.98722182]],[[1.53457443]],[[1.57683863]],[[1.64445337]],[[1.72322]],[[1.38252781]],[[1.13634929]],[[1.00165158]],[[1.10286435]],[[1.56807022]],[[1.02654447]],[[1.04453764]],[[0.95628053]]
['ARPC3'],[[0.88982455]],[[1.56010472]],[[1.6511894]],[[1.60574984]],[[1.6159789]],[[1.51233471]],[[1.18619906]],[[1.11582895]],[[0.99997341]],[[1.09152731]],[[0.93225222]],[[0.95026149]],[[0.84333452]]
['UHRF1BP1L'],[[0.81306933]],[[1.54709633]],[[1.57810201]],[[1.55639968]],[[1.62079606]],[[1.59521407]],[[1.42061804]],[[1.12278115]],[[0.89794741]],[[1.22645013]],[[0.8551914]],[[0.97730165]],[[0.87381215]]
['CLEC4A'],[[1.0929635]],[[1.52430004]],[[1.49611195]],[[1.40469118]],[[1.391514]],[[1.59752059]],[[1.75451205]],[[1.52306642]],[[1.10712542]],[[1.21271083]],[[0.97363345]],[[1.11444779]],[[0.92300855]]
['SERINC1'],[[0.86916841]],[[1.60441421]],[[1.72240916]],[[1.71043384]],[[1.83159576]],[[1.47779791]],[[1.15574261]],[[0.95696762]],[[0.8446708]],[[1.06610116]],[[0.88013625]],[[0.94192923]],[[0.91458196]]
['PTP4A1'],[[0.97379612]],[[1.5490314]],[[1.61098415]],[[1.63545853]],[[1.83364044]],[[1.36817955]],[[1.2512529]],[[1.03482313]],[[0.94225483]],[[1.06107767]],[[0.95705539]],[[1.00959259]],[[0.9614314]]
['TMEM30A'],[[0.89134489]],[[1.54461194]],[[1.60187942]],[[1.56144571]],[[1.7363379]],[[1.49603542]],[[1.22199513]],[[0.98806527]],[[0.83952975]],[[1.04412007]],[[0.8302611]],[[0.97760887]],[[0.92946039]]
['BRD8'],[[0.92675634]],[[1.42595672]],[[1.5281449]],[[1.62761059]],[[1.78344613]],[[1.4875591]],[[1.12314548]],[[1.02509738]],[[0.92635471]],[[0.94577899]],[[1.05065254]],[[1.03084654]],[[1.01154084]]
['CLK4'],[[0.8964552]],[[1.8924555]],[[1.8252295]],[[1.86098761]],[[2.03219087]],[[1.66505787]],[[1.2899273]],[[1.0595127]],[[0.96673531]],[[1.13923799]],[[0.95892216]],[[0.94498377]],[[0.95327436]]
['FAM172A'],[[0.98956967]],[[1.69186916]],[[1.75050021]],[[1.83207029]],[[2.10201542]],[[1.52228815]],[[1.33916392]],[[1.14027532]],[[1.05485222]],[[1.08072906]],[[0.92852328]],[[0.94970366]],[[0.99164809]]
['ABCC5'],[[1.05827272]],[[2.00927994]],[[1.97695484]],[[1.94374724]],[[1.93709413]],[[1.06146179]],[[1.00243872]],[[1.10008624]],[[1.15132464]],[[1.403678]],[[0.96873871]],[[1.07438597]],[[1.02063647]]
['SF3B6'],[[0.7973511]],[[1.35228223]],[[1.46165923]],[[1.4035253]],[[1.47130562]],[[1.24266454]],[[0.93579202]],[[0.98944327]],[[0.93860725]],[[0.97296569]],[[0.91523991]],[[0.96764615]],[[0.85482636]]
['CYTIP'],[[1.26174302]],[[1.99009862]],[[2.03289008]],[[1.99314126]],[[1.99226136]],[[1.25435481]],[[0.99094974]],[[0.86991538]],[[0.82088792]],[[1.03669144]],[[0.98520239]],[[1.0213343]],[[0.95666255]]
['ITGB6'],[[1.00995059]],[[1.54323822]],[[1.46291106]],[[1.64925821]],[[2.35309862]],[[1.67648105]],[[1.4705861]],[[1.21068817]],[[1.46369005]],[[1.1403693]],[[1.08556725]],[[0.88691746]],[[1.09314993]]
['STRN'],[[0.93077342]],[[1.41779753]],[[1.50435897]],[[1.55471946]],[[1.79004545]],[[1.35886488]],[[1.17369378]],[[0.99415246]],[[0.89291581]],[[1.09886079]],[[0.91132981]],[[0.98288825]],[[1.00117481]]
['PLCL1'],[[1.05477016]],[[1.93018429]],[[2.07069265]],[[2.14352672]],[[1.98249471]],[[0.98233343]],[[1.01212702]],[[0.99427051]],[[0.95974605]],[[1.05829101]],[[0.90275481]],[[1.04066541]],[[1.16069436]]
['LRRC42'],[[1.15887467]],[[2.60272487]],[[2.4212821]],[[2.36836541]],[[2.16955658]],[[1.48253313]],[[1.21280598]],[[1.04054275]],[[0.9518266]],[[1.15696536]],[[0.94463434]],[[1.04478751]],[[1.10759683]]
['STXBP3'],[[0.89058521]],[[1.50687257]],[[1.55869493]],[[1.59959022]],[[1.80092579]],[[1.62705442]],[[1.36444562]],[[1.09613748]],[[0.94427639]],[[1.19608143]],[[0.89572726]],[[1.05285808]],[[0.95872555]]
['TSNAX'],[[1.01126579]],[[1.58454254]],[[1.64561151]],[[1.70914066]],[[1.76063628]],[[1.38851865]],[[1.13011254]],[[1.07540034]],[[0.97850993]],[[1.16435991]],[[0.96604057]],[[0.96630866]],[[0.9424232]]
['LGALS8'],[[0.92876193]],[[1.06197915]],[[1.18731323]],[[1.35897937]],[[1.76358056]],[[1.57785284]],[[1.25165724]],[[1.08620233]],[[1.0602554]],[[1.04325072]],[[0.96886016]],[[0.98668932]],[[0.96323134]]
['ZNF684'],[[0.94129921]],[[1.86931045]],[[2.03088945]],[[2.10100605]],[[2.12574358]],[[0.98981359]],[[0.78079366]],[[0.99121019]],[[0.82099297]],[[0.5915054]],[[0.88438203]],[[1.06992274]],[[0.97608186]]
