['MCEMP1'],[[1.96372906]],[[4.32843254]],[[4.64329889]],[[4.74886304]],[[5.2943478]],[[5.19102724]],[[4.62954026]],[[3.9892729]],[[2.14366416]],[[1.86898873]],[[1.30837916]],[[1.67073407]],[[1.32648178]]
['SOCS3'],[[1.20925837]],[[4.84702381]],[[5.06250022]],[[5.08579211]],[[4.82021945]],[[3.61601918]],[[2.94954166]],[[3.07231725]],[[1.86904023]],[[1.78048158]],[[1.26018022]],[[1.80719275]],[[1.35201613]]
['TLR5'],[[0.8817693]],[[3.38614567]],[[3.37799389]],[[3.38010595]],[[3.1046843]],[[3.14779837]],[[2.76162428]],[[2.51616091]],[[1.37376069]],[[1.19761929]],[[0.79535182]],[[1.13342658]],[[0.91184312]]
['CD55'],[[2.44312404]],[[3.36993314]],[[3.47377196]],[[3.58710526]],[[3.45504233]],[[2.31321166]],[[1.9284816]],[[1.56930516]],[[1.0616984]],[[1.53004184]],[[1.14799796]],[[1.32877624]],[[1.09893533]]
['RNU6-226P'],[[1.34254554]],[[3.20723088]],[[3.0271684]],[[3.27521917]],[[3.31793855]],[[2.67029519]],[[1.83165368]],[[1.09951801]],[[0.97313109]],[[1.05177797]],[[0.7432779]],[[0.80012179]],[[0.74379233]]
['RNU6-1005P'],[[1.93204989]],[[3.30664462]],[[3.31326056]],[[3.30138209]],[[3.12012171]],[[1.94921767]],[[2.20972927]],[[2.26586848]],[[1.49731251]],[[1.31948161]],[[0.83392593]],[[0.94851444]],[[1.02628601]]
['AL137145.1'],[[1.84230793]],[[3.36698307]],[[3.44350895]],[[3.42191139]],[[3.03594782]],[[2.97103438]],[[1.97057237]],[[1.51430907]],[[1.08832142]],[[1.12404976]],[[0.96158964]],[[1.129335]],[[0.88516264]]
['PLIN5'],[[2.08648644]],[[3.15061209]],[[3.20994065]],[[3.11364954]],[[2.97297393]],[[2.61521007]],[[2.13979216]],[[1.96242987]],[[1.11568066]],[[1.26691884]],[[0.95437526]],[[1.22619476]],[[0.92828846]]
['AC026790.1'],[[2.27499528]],[[3.96898088]],[[4.04145101]],[[3.88076618]],[[3.95704975]],[[3.22442359]],[[2.71049778]],[[2.46563704]],[[1.58315461]],[[1.54169849]],[[1.21800888]],[[1.55816427]],[[1.22083923]]
['BTBD19'],[[1.99998898]],[[3.30564351]],[[3.40996576]],[[3.29867891]],[[3.17837369]],[[2.06336897]],[[1.26285275]],[[1.07798541]],[[0.9122784]],[[1.24376312]],[[0.87396625]],[[1.06887577]],[[0.87641254]]
['CYP1B1-AS1'],[[1.4151959]],[[3.17699808]],[[3.12667988]],[[3.20797947]],[[3.03380874]],[[2.89397711]],[[2.46951034]],[[2.0743152]],[[1.2908647]],[[1.41301487]],[[1.05460287]],[[1.18204699]],[[0.96002508]]
['RPL7L1P3'],[[2.45416373]],[[3.56939447]],[[3.59523235]],[[4.02119385]],[[3.6101672]],[[2.82395441]],[[2.14162839]],[[1.53839874]],[[1.14432747]],[[1.18590581]],[[1.13524186]],[[1.44335047]],[[1.09122415]]
['SERPINB10'],[[1.54595861]],[[3.07248074]],[[2.66994775]],[[4.29300645]],[[5.91448315]],[[1.75903172]],[[2.77934498]],[[2.40207209]],[[3.75282274]],[[4.34618154]],[[2.42852362]],[[3.72901103]],[[2.89820706]]
['AC011379.1'],[[2.17338983]],[[4.17658751]],[[4.05148668]],[[4.05233997]],[[3.95547098]],[[2.64301546]],[[2.15155588]],[[1.25563576]],[[0.86286533]],[[1.15765547]],[[1.02284132]],[[1.28612786]],[[0.94143175]]
['AC139495.3'],[[1.08225054]],[[2.57962839]],[[2.6877524]],[[2.51305337]],[[2.70074737]],[[3.02052033]],[[2.60658783]],[[2.12679393]],[[1.57502356]],[[1.18248974]],[[0.97366822]],[[1.17154176]],[[0.89193801]]
['AC131392.2'],[[2.78407257]],[[5.32920356]],[[4.55637133]],[[5.33385907]],[[5.03604625]],[[5.2282817]],[[5.02531774]],[[4.43101882]],[[3.86820207]],[[3.35828636]],[[3.32282844]],[[3.24751744]],[[2.42524423]]
['MIR3945HG'],[[2.30979082]],[[3.77832231]],[[3.67817702]],[[3.63784556]],[[2.88747456]],[[2.65567023]],[[2.06450459]],[[2.02745608]],[[0.99951354]],[[0.98456182]],[[0.62860735]],[[0.90408844]],[[0.69698786]]
['RNU6-1003P'],[[1.07412399]],[[2.89508296]],[[2.85958575]],[[2.83197528]],[[2.79397724]],[[1.80450994]],[[1.71294655]],[[1.14541266]],[[0.75481103]],[[0.86340759]],[[0.7904158]],[[0.92775178]],[[0.6792028]]
['AC079209.1'],[[2.27499476]],[[3.79729203]],[[3.81886505]],[[4.12005298]],[[3.33440174]],[[3.14562244]],[[2.66270258]],[[1.88688213]],[[1.25885876]],[[1.40921643]],[[1.05347392]],[[1.32986471]],[[0.95392672]]
['AC136475.5'],[[1.7502682]],[[2.93849728]],[[3.11560825]],[[3.08278588]],[[2.35695143]],[[2.42293667]],[[1.55503376]],[[1.29992008]],[[1.06141536]],[[0.77195257]],[[0.82216408]],[[0.65293061]],[[0.44175131]]
['AC135626.1'],[[1.50006436]],[[4.2745589]],[[4.10600486]],[[4.10421758]],[[4.1529927]],[[3.0865801]],[[2.85723962]],[[2.43873733]],[[1.93085158]],[[2.08018698]],[[1.76920249]],[[2.05349277]],[[1.77088634]]
['AC019254.1'],[[1.77903905]],[[4.12693343]],[[4.35680718]],[[4.05234027]],[[3.92949116]],[[3.18713569]],[[1.49207996]],[[2.05060123]],[[1.81046826]],[[1.73148212]],[[1.03625366]],[[1.92422359]],[[1.3941337]]
['MTND3P12'],[[2.38171818]],[[3.33426834]],[[3.37872311]],[[3.44457907]],[[3.19812825]],[[2.4493533]],[[1.94684258]],[[1.39409006]],[[0.91456016]],[[1.37431687]],[[0.97210234]],[[1.3377426]],[[1.03839967]]
['MTCYBP23'],[[1.98403913]],[[3.06229964]],[[3.00426062]],[[2.96764546]],[[2.87074264]],[[2.04121884]],[[1.82830643]],[[1.0952608]],[[0.69445025]],[[0.99074822]],[[0.76211187]],[[0.93683266]],[[0.76144731]]
['AC024267.6'],[[1.18902522]],[[3.44399272]],[[4.33779772]],[[4.00536481]],[[3.99351946]],[[2.79945423]],[[2.66270291]],[[2.64107788]],[[1.78133309]],[[1.26725964]],[[1.30045969]],[[1.91938883]],[[1.5059646]]
['AC011498.4'],[[3.49055646]],[[4.81046158]],[[4.96073915]],[[4.63178315]],[[4.38687218]],[[4.07392921]],[[3.48636993]],[[3.25870518]],[[1.73200568]],[[2.06367346]],[[1.67380838]],[[1.84201266]],[[1.49183414]]
['AC073342.2'],[[1.98964683]],[[3.91823807]],[[3.98322399]],[[3.911423]],[[4.05561264]],[[3.58847822]],[[2.58241169]],[[2.67220531]],[[1.74231499]],[[1.31790858]],[[1.178002]],[[1.71974735]],[[1.08835091]]
['AC136475.9'],[[1.67176633]],[[3.05812622]],[[3.25979644]],[[3.20812379]],[[2.27113623]],[[2.48074492]],[[1.6026534]],[[1.10813776]],[[0.94178558]],[[0.66777989]],[[0.6892656]],[[0.62326697]],[[0.40363597]]
['AL133507.1'],[[3.31613236]],[[4.77370291]],[[4.36934214]],[[4.78533032]],[[5.64326455]],[[3.22442311]],[[3.40571076]],[[3.63555812]],[[2.38912918]],[[2.45255442]],[[1.78924329]],[[2.56340775]],[[2.03567877]]
['AC106739.1'],[[1.69598336]],[[3.3883444]],[[3.75661121]],[[3.88076581]],[[3.84453821]],[[2.73631976]],[[2.88725619]],[[3.02550607]],[[1.9282641]],[[1.69983922]],[[1.30429433]],[[1.7850006]],[[1.22383222]]
['GSEC'],[[1.20888637]],[[3.94079317]],[[4.15726263]],[[4.3412864]],[[4.01036882]],[[4.00000938]],[[3.24069573]],[[3.20269214]],[[2.11028989]],[[1.89405419]],[[1.54943041]],[[1.99695352]],[[1.4559222]]
['AL139424.2'],[[2.01434411]],[[2.80135047]],[[2.85958607]],[[3.26860368]],[[2.74172742]],[[2.45189115]],[[2.15895732]],[[1.85558637]],[[1.08556936]],[[1.11240968]],[[0.98129254]],[[1.21740054]],[[0.78687626]]
