['BLVRB'],[[0.99588485]],[[0.97137464]],[[1.00075913]],[[1.49163502]],[[1.28432643]],[[1.3506614]],[[1.19893347]],[[1.9959129]],[[2.27497131]],[[1.34543685]],[[1.54883636]],[[1.91825102]],[[1.69115041]]
['MCOLN1'],[[0.95467113]],[[1.21286022]],[[1.18943537]],[[1.58572324]],[[1.38547331]],[[1.2814935]],[[1.16280184]],[[1.89598517]],[[2.10032516]],[[1.56119017]],[[1.22121147]],[[1.58926879]],[[1.39463158]]
['PTGS1'],[[0.90999523]],[[0.85935255]],[[0.8482762]],[[1.48397614]],[[1.45216776]],[[1.15682276]],[[1.140683]],[[2.44525849]],[[2.42116104]],[[1.27013753]],[[1.687464]],[[1.61099567]],[[1.46043792]]
['BAMBI'],[[0.69321882]],[[0.29354376]],[[1.13404896]],[[1.15856666]],[[0.88209917]],[[1.21925206]],[[1.05151953]],[[2.07719592]],[[1.83696625]],[[1.46742656]],[[0.75495893]],[[1.13370452]],[[1.19364865]]
['SMIM24'],[[1.0755204]],[[0.65596264]],[[0.79912703]],[[1.22350567]],[[1.03307072]],[[0.93350481]],[[0.87451598]],[[1.62551082]],[[1.94680248]],[[1.29835637]],[[1.07786962]],[[1.51357488]],[[1.45206626]]
['MARCH2'],[[1.01278137]],[[1.19236505]],[[1.25874019]],[[1.64794514]],[[1.58294455]],[[1.44953172]],[[1.39359008]],[[2.44624132]],[[2.55531583]],[[1.43431194]],[[1.73171702]],[[1.97885748]],[[1.78561419]]
['CDC34'],[[0.94119648]],[[1.04180388]],[[1.02633139]],[[1.43514103]],[[1.25109847]],[[1.20555613]],[[0.96374281]],[[1.91775496]],[[2.24802117]],[[1.43995515]],[[1.36661675]],[[1.70678051]],[[1.57237943]]
['FBXO7'],[[0.95078228]],[[0.92025093]],[[0.89791023]],[[1.0793258]],[[0.95435443]],[[1.04645257]],[[0.78506115]],[[1.45187314]],[[1.56734338]],[[1.12026731]],[[1.12937214]],[[1.29179543]],[[1.23287814]]
['CYB5R3'],[[1.0161475]],[[1.18211982]],[[1.21909485]],[[1.5365669]],[[1.35436537]],[[1.3042132]],[[1.35085836]],[[2.11853942]],[[2.23947826]],[[1.59201475]],[[1.34384708]],[[1.53000441]],[[1.40609353]]
['ASCC2'],[[0.9704076]],[[0.91949476]],[[0.87640994]],[[1.31361608]],[[1.09000185]],[[1.10796994]],[[0.95807888]],[[1.86198143]],[[2.15587639]],[[1.38887624]],[[1.32106438]],[[1.61221969]],[[1.48591905]]
['ST13'],[[0.88784939]],[[0.71294353]],[[0.72611817]],[[1.03698688]],[[0.8316434]],[[0.84132147]],[[0.83367807]],[[1.45286884]],[[1.66916565]],[[1.33130924]],[[1.06469879]],[[1.20917335]],[[1.13444299]]
['CTSG'],[[1.05627322]],[[1.18819063]],[[1.76106307]],[[1.29774248]],[[1.08780099]],[[0.91495241]],[[1.13218385]],[[1.46147668]],[[2.03938161]],[[1.33908661]],[[1.37412991]],[[2.06457537]],[[1.70215805]]
['VTI1B'],[[0.87967871]],[[1.02871212]],[[0.98666035]],[[1.11496641]],[[0.97186503]],[[1.07553749]],[[0.92253083]],[[1.40496241]],[[1.54358009]],[[1.33435246]],[[1.03699588]],[[1.14048227]],[[1.02550734]]
['TUBB1'],[[0.98029289]],[[0.86040836]],[[0.83166034]],[[1.4380461]],[[1.33055583]],[[1.0611179]],[[1.00539038]],[[2.20960732]],[[2.06053511]],[[1.26751199]],[[1.64411536]],[[1.55550886]],[[1.4373845]]
['RIOK3'],[[0.87499864]],[[0.89853518]],[[0.88899569]],[[1.00323949]],[[0.87420675]],[[0.93490165]],[[0.6714463]],[[1.3715637]],[[1.6211033]],[[1.47306194]],[[0.96876542]],[[1.01776154]],[[0.9439307]]
['PGRMC1'],[[0.98949602]],[[0.95525038]],[[0.98474993]],[[1.54430461]],[[1.44793399]],[[1.0956137]],[[1.21661475]],[[2.31830665]],[[2.26886855]],[[1.33523757]],[[1.49870389]],[[1.52680646]],[[1.37424349]]
['PCSK1N'],[[0.86152541]],[[0.52516415]],[[0.7061577]],[[0.7207334]],[[0.75397482]],[[0.94216207]],[[0.83674104]],[[1.68845772]],[[2.30247679]],[[1.25890558]],[[0.33723369]],[[0.83317831]],[[0.84602716]]
['GATA1'],[[1.04454015]],[[0.84750934]],[[0.86684968]],[[1.21854073]],[[1.03608856]],[[1.16486784]],[[0.97923546]],[[1.94782866]],[[2.28353038]],[[1.33035627]],[[1.38199332]],[[1.72227396]],[[1.55450656]]
['PCYT1B'],[[0.9814604]],[[0.56486661]],[[0.65808406]],[[1.57975288]],[[1.49976573]],[[1.22651741]],[[1.07987194]],[[2.80469394]],[[2.75116907]],[[1.75735888]],[[1.64982258]],[[1.58778286]],[[1.43489725]]
['SYTL4'],[[1.03075972]],[[0.99779859]],[[0.90218996]],[[1.29216854]],[[1.08139735]],[[1.2706993]],[[1.36362539]],[[2.37396239]],[[2.05836666]],[[1.30075589]],[[1.59960801]],[[1.40400726]],[[1.37348525]]
['MSLN'],[[1.51129668]],[[0]],[[0]],[[0.91799796]],[[0.79322344]],[[3.16503714]],[[2.40349884]],[[3.38343661]],[[3.08270558]],[[2.6544001]],[[1.02213043]],[[2.30267583]],[[3.46421143]]
['NPRL3'],[[0.96182201]],[[0.7970252]],[[0.81114236]],[[1.8194145]],[[1.62420518]],[[1.02131214]],[[1.08313111]],[[2.47382967]],[[2.8213818]],[[1.67533754]],[[1.47298408]],[[1.97282283]],[[2.15629725]]
['SEC14L5'],[[1.0546751]],[[0.77167648]],[[0.84518275]],[[1.52065658]],[[1.48129718]],[[1.16288585]],[[0.93150817]],[[2.30210851]],[[2.18978784]],[[1.13845119]],[[2.01863295]],[[1.70360515]],[[1.54089469]]
['GSPT1'],[[0.91365251]],[[0.84688163]],[[0.81776798]],[[1.02457249]],[[0.84225564]],[[1.01845977]],[[0.83975735]],[[1.56007993]],[[1.75639335]],[[1.21911337]],[[1.08207442]],[[1.22124498]],[[1.19389853]]
['TMC5'],[[0.72390027]],[[0.68724072]],[[0.88953834]],[[1.01813539]],[[0.86967346]],[[0.69364094]],[[0.64529118]],[[1.32347243]],[[1.43319415]],[[0.99963737]],[[0.65700282]],[[1.14927292]],[[1.10815007]]
['FAH'],[[0.98833634]],[[1.22450055]],[[1.06272685]],[[1.4108323]],[[1.22222154]],[[1.49356998]],[[1.270336]],[[1.997596]],[[1.92877956]],[[1.25963366]],[[1.30837214]],[[1.36086053]],[[1.26351515]]
['HOMER2'],[[1.12327696]],[[0.8467492]],[[0.78375702]],[[1.10112081]],[[0.94340727]],[[0.88865442]],[[1.14420237]],[[2.28163802]],[[1.8322458]],[[1.23195844]],[[1.3019032]],[[1.23103909]],[[1.17101895]]
['ZDHHC2'],[[0.98812987]],[[1.12826692]],[[1.12998461]],[[1.63521353]],[[1.5244879]],[[1.0873965]],[[0.89796532]],[[1.61956498]],[[2.03632203]],[[1.29772588]],[[1.38500282]],[[1.46932084]],[[1.18553476]]
['LYL1'],[[0.98616893]],[[0.9983464]],[[0.91848136]],[[1.54403122]],[[1.2927654]],[[1.26869024]],[[1.14617231]],[[2.21033988]],[[2.5914863]],[[1.27636624]],[[1.5330441]],[[1.93438335]],[[1.82996402]]
['TNNT1'],[[0.85572196]],[[0.98046662]],[[0.92299967]],[[0.97415007]],[[0.98752488]],[[0.62256091]],[[1.08229946]],[[2.13670335]],[[1.81380236]],[[1.89302035]],[[0.47420567]],[[1.14957401]],[[1.0143437]]
['SLC1A5'],[[0.92625419]],[[0.87875284]],[[0.88434747]],[[1.16956636]],[[1.0575481]],[[1.1784745]],[[1.12676293]],[[1.88424721]],[[2.44747657]],[[1.74243663]],[[1.32893154]],[[1.70794369]],[[1.60429143]]
['KLF1'],[[0.95341063]],[[0.88096205]],[[0.90721662]],[[1.57372026]],[[1.372454]],[[1.0873492]],[[1.14204395]],[[2.29246999]],[[2.90287621]],[[1.32998857]],[[1.58083549]],[[2.14146899]],[[2.09314833]]
['FKBP8'],[[0.96087779]],[[1.09962765]],[[1.09529048]],[[1.5787092]],[[1.39682633]],[[1.23344001]],[[1.1717203]],[[2.17760253]],[[2.39447944]],[[1.49113559]],[[1.56335637]],[[1.96474333]],[[1.76747345]]
['CAV2'],[[1.01630668]],[[0.65081635]],[[0.50508463]],[[1.41576651]],[[1.52850162]],[[0.50533266]],[[0.87031209]],[[2.50276428]],[[2.53009721]],[[1.29242211]],[[1.21229936]],[[1.65211027]],[[1.14992189]]
['TFR2'],[[0.90421984]],[[0.71848751]],[[0.81512137]],[[1.10357129]],[[0.81426852]],[[0.94612665]],[[0.77832738]],[[1.73683871]],[[2.47199388]],[[1.43274388]],[[1.38350123]],[[1.56660809]],[[1.49552586]]
['DNM1'],[[0.97431369]],[[0.83006275]],[[0.71718616]],[[1.20428908]],[[1.16669471]],[[1.25385703]],[[0.79106968]],[[2.17235625]],[[1.99789026]],[[0.99390068]],[[1.45168739]],[[1.39521394]],[[1.34512858]]
['PIP5K1B'],[[0.90856686]],[[0.96992998]],[[1.09198256]],[[1.18302441]],[[1.0388747]],[[1.43183083]],[[1.10350198]],[[1.41399083]],[[1.65582784]],[[1.24238713]],[[1.05997878]],[[1.12528806]],[[1.00389286]]
['PDLIM1'],[[0.97845551]],[[0.71421986]],[[0.64520295]],[[1.43601072]],[[1.3748144]],[[1.16292855]],[[0.98835316]],[[2.41428436]],[[2.46214367]],[[1.30016889]],[[1.62397113]],[[1.64389448]],[[1.54692918]]
['HPS1'],[[0.9766738]],[[1.09523721]],[[1.06798707]],[[1.47137646]],[[1.28785194]],[[1.16142636]],[[1.08283452]],[[1.99612149]],[[2.23011019]],[[1.44169837]],[[1.38786386]],[[1.72015813]],[[1.56232995]]
['RUNDC3A'],[[0.89082638]],[[0.8379947]],[[0.7943759]],[[1.15959868]],[[1.11127443]],[[1.18574311]],[[1.04787273]],[[1.92745857]],[[2.09944213]],[[1.36648727]],[[1.3776362]],[[1.71844024]],[[1.62781909]]
['SEPT4'],[[0.91001408]],[[0.59235549]],[[0.60190544]],[[1.49788937]],[[1.47301105]],[[0.92339678]],[[1.1243169]],[[2.32485074]],[[2.2867516]],[[1.13196135]],[[1.52055044]],[[1.68027894]],[[1.40916595]]
['ALOX12'],[[1.01704524]],[[0.90595379]],[[0.89423959]],[[2.01764893]],[[2.0258523]],[[1.46550088]],[[1.38002441]],[[3.3270822]],[[3.12468198]],[[1.3362281]],[[2.37293237]],[[2.18877029]],[[2.01985994]]
['ABCC3'],[[0.84016963]],[[0.84036476]],[[0.76348078]],[[1.44174842]],[[1.4096365]],[[0.99463596]],[[1.2071154]],[[2.55884566]],[[2.55869141]],[[1.28683147]],[[1.73491019]],[[1.56905864]],[[1.43965943]]
['KIAA1211'],[[0.71597275]],[[0.71310952]],[[0.33970456]],[[1.28598322]],[[1.20447021]],[[0.60078869]],[[0.87525419]],[[2.34162913]],[[2.03240124]],[[1.02130021]],[[1.39224879]],[[1.29612311]],[[1.21549069]]
['TECTA'],[[1.32011362]],[[1.18538646]],[[1.022016]],[[1.17172828]],[[1.00081511]],[[1.14473838]],[[0.84741614]],[[1.80769381]],[[2.03037306]],[[1.58194395]],[[1.31088023]],[[1.6267074]],[[1.25514411]]
['SIAE'],[[0.82881426]],[[0.78127515]],[[0.81144568]],[[1.15463267]],[[1.01009118]],[[1.14316698]],[[1.23616687]],[[1.98029316]],[[1.84013919]],[[1.18269166]],[[1.10386563]],[[1.10006059]],[[1.00533355]]
['VWF'],[[0.89647689]],[[1.01274497]],[[1.04659691]],[[1.88788301]],[[1.85249986]],[[0.87467705]],[[1.06688536]],[[2.57216146]],[[2.70705263]],[[1.2154516]],[[2.1106734]],[[1.96800601]],[[1.7416332]]
['CDK2AP1'],[[0.93523737]],[[0.95679783]],[[1.05191981]],[[1.58855401]],[[1.480087]],[[1.09751241]],[[1.12213331]],[[2.29554531]],[[2.10377707]],[[1.28822393]],[[1.54861164]],[[1.57348145]],[[1.49033619]]
['RHAG'],[[0.81244399]],[[0.73955669]],[[0.76747138]],[[1.13007166]],[[0.99185773]],[[0.72856384]],[[0.82290883]],[[1.5595144]],[[1.82928787]],[[1.15704544]],[[1.14201143]],[[1.31513195]],[[1.2223382]]
['ALDH5A1'],[[0.86262813]],[[0.63310996]],[[0.68270164]],[[1.2903428]],[[1.10653917]],[[0.76217023]],[[0.6400365]],[[1.97251924]],[[2.24078651]],[[1.04206214]],[[1.43476662]],[[1.60947345]],[[1.69370518]]
['DAP'],[[0.95210924]],[[1.28021245]],[[1.22491218]],[[1.5124479]],[[1.37251538]],[[1.21540079]],[[1.16121633]],[[1.77548301]],[[1.93330013]],[[1.51108655]],[[1.24850334]],[[1.39442352]],[[1.22028149]]
['SPARC'],[[0.97323488]],[[0.85672996]],[[0.85589963]],[[1.61386425]],[[1.55265103]],[[1.21427443]],[[1.13116794]],[[2.66926701]],[[2.83863223]],[[1.41427441]],[[1.78188356]],[[1.66910465]],[[1.5958165]]
['SELENOK'],[[0.90869788]],[[0.95593665]],[[0.92995749]],[[1.00043913]],[[0.89426693]],[[0.96981987]],[[0.83389653]],[[1.04639033]],[[1.3183737]],[[1.16036307]],[[0.85682158]],[[1.01105768]],[[0.79601412]]
['KAT2B'],[[0.94300299]],[[1.07208891]],[[1.06320209]],[[1.32498052]],[[1.10919101]],[[1.00581033]],[[0.79704546]],[[1.37310899]],[[1.48840891]],[[1.06009235]],[[1.04408482]],[[1.17103831]],[[1.10544215]]
['PLSCR4'],[[0.94510573]],[[0.85784569]],[[1.18547811]],[[1.59071769]],[[1.42609036]],[[1.18594844]],[[0.36295393]],[[2.02589648]],[[2.2657394]],[[1.28715874]],[[1.41790615]],[[1.63387536]],[[1.52420675]]
['CNPPD1'],[[0.99560134]],[[1.03657807]],[[1.01140998]],[[1.39650181]],[[1.25257604]],[[1.20736746]],[[1.21629127]],[[2.04142229]],[[2.25458573]],[[1.59786493]],[[1.26012323]],[[1.5336334]],[[1.40016313]]
['TRAK2'],[[0.88703758]],[[0.77928879]],[[0.7871846]],[[1.07335352]],[[0.88852163]],[[0.8887341]],[[0.74687047]],[[1.49205122]],[[1.67021885]],[[1.29929775]],[[1.09536994]],[[1.3249517]],[[1.29409461]]
['AL591845.1'],[[1.40328498]],[[0.37946897]],[[0.61446938]],[[1.4362835]],[[0.57747466]],[[1.21925205]],[[1.07891167]],[[1.90791274]],[[0.93586446]],[[1.46742596]],[[0.91591061]],[[1.09419332]],[[0.99837814]]
['MPL'],[[1.08187002]],[[0.85536595]],[[0.71444846]],[[1.64147541]],[[1.61140045]],[[1.44636808]],[[1.23148302]],[[2.63937476]],[[2.47969321]],[[1.28485399]],[[1.84058595]],[[1.70535969]],[[1.67022649]]
