['EPAS1'],[[1.15671386]],[[2.25309842]],[[2.32537534]],[[2.52788865]],[[2.47066179]],[[1.7829506]],[[1.11464377]],[[1.0587765]],[[1.03908138]],[[1.04891687]],[[1.02604633]],[[1.03870976]],[[0.88904227]]
['PHTF1'],[[1.09836485]],[[2.75774186]],[[2.95473051]],[[3.26216127]],[[3.04442693]],[[2.09361083]],[[1.29614743]],[[1.3590287]],[[1.01642031]],[[1.02732155]],[[0.93627859]],[[1.05458669]],[[0.86591761]]
['SLC5A9'],[[1.10880074]],[[1.89055023]],[[2.5308083]],[[4.34695096]],[[3.92819934]],[[3.73187927]],[[2.4978469]],[[2.96066493]],[[2.48359973]],[[1.27036464]],[[1.87733519]],[[2.32618927]],[[2.06613138]]
['IRF2BPL'],[[1.17688591]],[[2.1736826]],[[2.22078441]],[[3.06739703]],[[2.92315694]],[[2.41633738]],[[1.83573257]],[[1.84752741]],[[1.2430367]],[[1.35746004]],[[1.23143796]],[[1.48370873]],[[1.29631581]]
['KBTBD7'],[[1.07616765]],[[1.87703732]],[[2.06906183]],[[3.05255797]],[[2.9103192]],[[1.98716186]],[[1.52640406]],[[1.68629063]],[[1.16699498]],[[1.03890096]],[[1.0798279]],[[1.29574639]],[[1.07211424]]
['TRIM25'],[[1.0863729]],[[3.05937499]],[[3.06624379]],[[3.38820202]],[[3.06372446]],[[2.50851432]],[[1.86024692]],[[1.96996753]],[[1.51246461]],[[1.50866981]],[[1.20858995]],[[1.53249054]],[[1.26457466]]
['PLBD1'],[[1.04093084]],[[2.77036898]],[[2.7617119]],[[2.95168152]],[[2.72130309]],[[2.69425204]],[[2.37221196]],[[2.09678548]],[[1.5369785]],[[1.57765506]],[[1.05896502]],[[1.26387634]],[[1.06639539]]
['SRGN'],[[1.097997]],[[2.36467555]],[[2.39618766]],[[2.82946359]],[[2.66278404]],[[2.20885189]],[[1.69658683]],[[1.81039469]],[[1.353877]],[[1.30709347]],[[1.11334715]],[[1.32332309]],[[1.07850302]]
['KCNJ2'],[[0.91125079]],[[2.23491523]],[[2.42001895]],[[3.0506542]],[[2.84801964]],[[2.255391]],[[2.00052598]],[[1.99610767]],[[1.31215446]],[[1.24685261]],[[1.00103164]],[[1.36462996]],[[1.1547393]]
['C4BPA'],[[1.61550987]],[[3.44543041]],[[3.63179912]],[[5.26510056]],[[5.97991338]],[[2.6108634]],[[1.52123633]],[[3.55108232]],[[3.47548549]],[[1.20388559]],[[4.36587775]],[[3.75079086]],[[1.00131779]]
['GLIS2'],[[1.5112967]],[[3.00723061]],[[2.86110997]],[[3.6077024]],[[3.54909022]],[[2.21119236]],[[1.22337963]],[[1.92655004]],[[2.06899719]],[[1.39180048]],[[1.58232623]],[[1.70336631]],[[1.36390615]]
['POR'],[[1.01766126]],[[2.8835745]],[[3.0124531]],[[3.44640959]],[[3.32797516]],[[2.46533781]],[[1.96759217]],[[1.9890858]],[[1.49188913]],[[1.4092118]],[[1.2114233]],[[1.49064116]],[[1.1844399]]
['NECTIN2'],[[1.10608337]],[[2.63543856]],[[3.07620469]],[[2.72084365]],[[2.66724157]],[[3.1347362]],[[2.48335406]],[[1.6853152]],[[1.08800335]],[[2.05621082]],[[0.56228473]],[[0.93568854]],[[0.83377354]]
['CHSY1'],[[1.04433568]],[[3.19387458]],[[3.41990622]],[[3.49902194]],[[3.22173775]],[[1.8818954]],[[1.58020114]],[[1.66191076]],[[1.32890979]],[[1.29521068]],[[1.29592335]],[[1.49636052]],[[1.27770635]]
['TBC1D14'],[[1.12477711]],[[2.57682947]],[[2.66468464]],[[2.94183115]],[[2.70288036]],[[2.03020064]],[[1.59420898]],[[1.64488086]],[[1.23748937]],[[1.37911943]],[[1.16560822]],[[1.38624178]],[[1.19588209]]
['PPP1R3D'],[[1.06204473]],[[2.54753197]],[[2.40027934]],[[2.81816032]],[[2.63992576]],[[2.26042444]],[[1.62037711]],[[1.82165267]],[[1.37708927]],[[1.26177876]],[[1.20668205]],[[1.33033313]],[[1.11890567]]
['TMTC1'],[[0.95438353]],[[2.51382764]],[[2.70649396]],[[2.62542794]],[[2.81741028]],[[2.87717976]],[[2.25908857]],[[2.15266031]],[[1.75803008]],[[1.5526313]],[[0.64551883]],[[0.70495659]],[[0.59800308]]
['LDHA'],[[1.00035972]],[[2.27340574]],[[2.41708773]],[[2.85943681]],[[2.8316547]],[[1.91286969]],[[1.68788768]],[[1.60324949]],[[1.12733696]],[[1.29456009]],[[0.97559882]],[[1.18410665]],[[1.01908188]]
['ADAM19'],[[1.05305572]],[[2.40100696]],[[2.29747573]],[[2.63352754]],[[2.4256072]],[[1.96564084]],[[1.32489415]],[[1.52627116]],[[1.28972497]],[[1.13964037]],[[1.04069547]],[[1.15229825]],[[1.02193289]]
['CCNJL'],[[1.10247334]],[[2.48410232]],[[2.51013088]],[[2.8930796]],[[2.72325913]],[[2.44869946]],[[1.83784119]],[[1.74750073]],[[1.26956895]],[[1.28592791]],[[1.19279722]],[[1.42921393]],[[1.12306296]]
['ACVR1B'],[[1.06376521]],[[2.83332702]],[[2.76887345]],[[2.96175542]],[[2.78226814]],[[2.29399582]],[[1.66873147]],[[1.81133942]],[[1.34531952]],[[1.5043483]],[[1.17417034]],[[1.32897272]],[[1.17411943]]
['DYSF'],[[1.25279957]],[[2.96671679]],[[3.05198376]],[[3.53352874]],[[3.30143374]],[[3.23956546]],[[2.52891918]],[[2.53381088]],[[1.93772303]],[[1.61901762]],[[1.48455295]],[[1.70968251]],[[1.43140284]]
['CKAP4'],[[1.12895438]],[[2.80948734]],[[2.83106958]],[[3.10099115]],[[3.00961966]],[[2.42643532]],[[2.04948685]],[[2.17734975]],[[1.5553165]],[[1.40526113]],[[1.25190971]],[[1.42291794]],[[1.10503783]]
['MTHFS'],[[1.0115309]],[[2.41335486]],[[2.80030644]],[[3.22287856]],[[2.9315403]],[[2.00760427]],[[1.6207327]],[[1.57885618]],[[1.05229216]],[[1.11303966]],[[1.21404103]],[[1.39176537]],[[1.28553868]]
['HLX'],[[0.98552205]],[[3.80009188]],[[3.72130044]],[[3.8373577]],[[3.48532836]],[[1.9758181]],[[1.48370494]],[[1.83629134]],[[1.51035914]],[[1.49528402]],[[1.35355823]],[[1.63724849]],[[1.42334999]]
['TXN'],[[1.06087598]],[[2.39252381]],[[2.35507141]],[[2.78742791]],[[2.6646962]],[[1.93890607]],[[1.5082782]],[[1.74155927]],[[1.50343257]],[[1.29709811]],[[1.14870324]],[[1.32017008]],[[1.06310373]]
