['NT5DC4'],[[1.38919728]],[[1.53378139]],[[1.95135401]],[[2.85076801]],[[2.36274885]],[[2.58038083]],[[2.79403614]],[[3.28981912]],[[2.4253379]],[[1.18332951]],[[1.27895613]],[[1.8562502]],[[1.47748531]]
['LHFPL2'],[[1.00256932]],[[1.74694347]],[[2.13737397]],[[2.21913194]],[[2.13332981]],[[2.14889733]],[[1.64654449]],[[2.08701642]],[[1.93482641]],[[1.5735159]],[[1.35472566]],[[1.48524022]],[[1.35801376]]
['TRIM7'],[[0.98694484]],[[1.05490448]],[[1.4103434]],[[1.41674141]],[[1.18767804]],[[1.70039955]],[[1.76278851]],[[1.82942393]],[[1.38387693]],[[1.52635201]],[[1.06025452]],[[1.12003247]],[[1.05318125]]
['ZNF185'],[[1.05087477]],[[1.54109635]],[[1.60343703]],[[1.83425488]],[[1.68856648]],[[1.535797]],[[1.45363704]],[[2.23382248]],[[2.08336168]],[[1.3463108]],[[1.37553625]],[[1.51104023]],[[1.40316123]]
['SLC25A37'],[[0.90591915]],[[1.42598798]],[[1.47746232]],[[1.72006415]],[[1.53602006]],[[1.50532391]],[[0.99152135]],[[1.56204798]],[[1.91262805]],[[1.53267593]],[[1.11195678]],[[1.26889304]],[[1.15781749]]
['GBGT1'],[[0.90125266]],[[1.80608302]],[[1.80485237]],[[1.96864687]],[[1.76791008]],[[1.75701496]],[[1.47976114]],[[1.87647904]],[[1.70228769]],[[1.34982818]],[[1.15957824]],[[1.35135606]],[[1.21582696]]
['ST14'],[[0.87421625]],[[1.39005704]],[[1.41316547]],[[1.67123155]],[[1.45642772]],[[2.44302458]],[[2.16386136]],[[2.20172831]],[[1.84036969]],[[1.27818194]],[[1.22524741]],[[1.28765028]],[[1.16679956]]
['TMEM56'],[[0.85851359]],[[0.96885852]],[[1.2137776]],[[2.05159928]],[[1.84056405]],[[0.88382114]],[[0.69709219]],[[1.73594874]],[[1.90392709]],[[1.48958235]],[[1.17684667]],[[1.35474179]],[[1.35933192]]
['STK32B'],[[1.09150339]],[[1.79996598]],[[1.93808741]],[[1.70790524]],[[1.4857191]],[[2.00916149]],[[1.75864638]],[[2.05956195]],[[1.53466745]],[[1.61329386]],[[0.90482721]],[[1.20336923]],[[0.97307909]]
['HK1'],[[0.94386476]],[[1.3370254]],[[1.33196036]],[[1.60829115]],[[1.42867397]],[[1.36438174]],[[1.30921022]],[[2.01637877]],[[2.05821264]],[[1.41210385]],[[1.21949944]],[[1.35659382]],[[1.23558042]]
['ITGAD'],[[1.28442961]],[[1.71703282]],[[1.74932454]],[[1.9568181]],[[1.43157306]],[[1.30197737]],[[1.59556236]],[[2.40518175]],[[1.99993548]],[[1.5173644]],[[1.96839935]],[[1.95287095]],[[1.44338442]]
['NRG1'],[[0.87602998]],[[1.19908165]],[[1.31835177]],[[0.92797102]],[[0.8226972]],[[0.84472464]],[[1.41360752]],[[1.21621674]],[[0.99835009]],[[1.79608587]],[[0.2702965]],[[0.51144223]],[[0.3166664]]
['MMP14'],[[0.93387911]],[[0.93896087]],[[1.14246907]],[[1.28872426]],[[1.312395]],[[2.09686983]],[[1.9050506]],[[1.96934885]],[[1.51755078]],[[1.63285198]],[[1.0358858]],[[1.24322646]],[[1.08421799]]
['PINK1'],[[0.99505767]],[[1.53725164]],[[1.47302403]],[[2.03067693]],[[1.84691295]],[[1.57318699]],[[1.30324179]],[[2.10643256]],[[2.38447921]],[[1.47969002]],[[1.41910756]],[[1.6621775]],[[1.49390798]]
['SIGLEC16'],[[1.19462463]],[[2.38037156]],[[2.41246027]],[[2.43692282]],[[2.10278744]],[[3.21010545]],[[2.09397126]],[[2.37060801]],[[1.93206619]],[[1.62316926]],[[1.52266518]],[[1.58566064]],[[1.48695058]]
['ASGR2'],[[1.00719635]],[[1.5460741]],[[1.65535582]],[[1.31170255]],[[1.19739548]],[[2.12710418]],[[2.35555342]],[[2.1529027]],[[1.70663318]],[[2.03610154]],[[0.89022531]],[[1.04641821]],[[0.87615939]]
['OLFML2B'],[[0.72721649]],[[1.20004672]],[[1.61240181]],[[1.52497183]],[[1.43891267]],[[3.00516746]],[[2.4514437]],[[2.21662332]],[[1.73448932]],[[1.66105141]],[[1.06605908]],[[1.03556309]],[[0.88274713]]
['FZD5'],[[1.05480652]],[[1.79354768]],[[1.8554335]],[[1.92211454]],[[1.86344505]],[[2.15610996]],[[1.70185226]],[[2.04775445]],[[2.47357011]],[[1.97484164]],[[1.30107394]],[[1.52787772]],[[1.39376628]]
