['AHRR'],[[1.17692058]],[[1.04843553]],[[1.22424071]],[[0.93471901]],[[0.57107607]],[[0.97469106]],[[1.0302878]],[[0.9152958]],[[0.61287044]],[[0.88763363]],[[0.5111457]],[[1.08862538]],[[0.89255465]]
['HERC5'],[[1.02217353]],[[1.35483609]],[[1.21667335]],[[2.36256961]],[[1.85813271]],[[0.6322805]],[[0.6105372]],[[0.74235277]],[[0.82343851]],[[0.91697583]],[[0.88454791]],[[0.92367634]],[[1.32982166]]
['SLC27A2'],[[0.8042956]],[[0.66046316]],[[0.60597014]],[[1.01441211]],[[0.61470441]],[[0.40400538]],[[0.46625698]],[[0.52320989]],[[0.74724852]],[[0.9418452]],[[0.7026024]],[[0.91092003]],[[0.82845231]]
['RPL3L'],[[2.0160956]],[[0.90372081]],[[1.0313976]],[[1.72397906]],[[2.32404184]],[[1.32662745]],[[0.61188917]],[[0.90635058]],[[1.71819084]],[[1.31483746]],[[0.73495538]],[[0.37118494]],[[1.7343685]]
['MX1'],[[0.95209728]],[[0.89727877]],[[0.86414254]],[[2.19518813]],[[1.91266151]],[[0.65295368]],[[0.66426116]],[[0.73054972]],[[0.72966683]],[[0.96340428]],[[0.89558184]],[[0.83029096]],[[1.28343287]]
['BATF2'],[[1.39173161]],[[1.5984579]],[[1.36603124]],[[1.90417635]],[[1.71786186]],[[0.55691435]],[[0.60967133]],[[0.84213184]],[[0.82667315]],[[1.48660868]],[[0.84101516]],[[0.90791547]],[[1.72085103]]
['CXCL8'],[[1.24799104]],[[1.11181917]],[[0.84561842]],[[1.82411918]],[[1.62225962]],[[0.28971763]],[[0.1771457]],[[0.38982546]],[[0.41852237]],[[0.75325863]],[[0.90969726]],[[1.00237091]],[[0.98803949]]
['SDC2'],[[1.20327647]],[[1.33950603]],[[1.47074096]],[[1.56002167]],[[1.32028312]],[[0.70200693]],[[0.40070962]],[[0.92660086]],[[0.72049137]],[[0.5872257]],[[0.68163017]],[[1.08427598]],[[1.01118468]]
['TSPEAR'],[[1.36020428]],[[1.82378263]],[[1.95271006]],[[1.85598509]],[[1.69132295]],[[1.23055253]],[[1.21452768]],[[0.90635087]],[[0.32707871]],[[0.92848228]],[[1.35057716]],[[1.30280125]],[[0.60753263]]
['FUNDC2P2'],[[0.5632828]],[[0]],[[0.54991713]],[[1.13037995]],[[0.54030388]],[[0.36431242]],[[0]],[[0.47360715]],[[0.74724852]],[[0.64778369]],[[0.66950747]],[[0.47635027]],[[1.16430181]]
['RGS7'],[[0.7794206]],[[1.45510746]],[[0.76213811]],[[2.75760333]],[[1.12850765]],[[0]],[[0.76921796]],[[0.66253855]],[[0]],[[1.18599877]],[[1.21951983]],[[1.74300575]],[[1.51695841]]
['IFIT1'],[[0.96856317]],[[0.995782]],[[0.79818053]],[[2.48079903]],[[2.03735079]],[[0.44992756]],[[0.4249482]],[[0.65889541]],[[0.66822539]],[[0.98634073]],[[0.85353491]],[[0.81200018]],[[1.32285782]]
['NEK5'],[[0.77942049]],[[2.16463827]],[[1.91991567]],[[2.53706957]],[[1.07130009]],[[0.8967011]],[[0]],[[1.11485396]],[[1.60206015]],[[0]],[[0]],[[1.12012564]],[[1.51695851]]
['FAM196B'],[[0.77942056]],[[0.82710364]],[[0.94710744]],[[1.33373569]],[[0.85021734]],[[1.1037138]],[[0]],[[1.11485424]],[[0.74724852]],[[0.64778369]],[[0.66950747]],[[0.47635027]],[[0.69654907]]
['MIR505'],[[0.96735679]],[[1.73220863]],[[2.23634345]],[[1.08876417]],[[0.73554874]],[[0.89670112]],[[1.12029186]],[[1.73615567]],[[0]],[[0.64778369]],[[1.47071384]],[[0.47635027]],[[0.69654907]]
['RPL31P52'],[[0.77942056]],[[0.82710364]],[[0.54991713]],[[1.251618]],[[0.85869648]],[[0.65492657]],[[0.76921791]],[[0.82956894]],[[0]],[[0]],[[1.30820049]],[[0.47635027]],[[0]]
['HCG20'],[[1.0528762]],[[2.34031447]],[[0.76213811]],[[1.8509255]],[[1.62200646]],[[0.89670087]],[[0]],[[2.16902486]],[[1.33732498]],[[1.64401639]],[[1.21951983]],[[0.66614708]],[[0.55136111]]
['AC067945.1'],[[1.18376158]],[[1.51494946]],[[1.65883165]],[[1.67590546]],[[1.35392327]],[[0.86291831]],[[0.54381715]],[[0.83743342]],[[0.93816856]],[[0.78460286]],[[0.88088538]],[[0.76909084]],[[0.96658459]]
['AC015691.1'],[[0.30895933]],[[1.55350819]],[[0.94710744]],[[1.14961058]],[[1.2532132]],[[1.1037138]],[[0.55538805]],[[0]],[[1.01284225]],[[0.35994801]],[[0]],[[0.47635027]],[[0.94929992]]
['AC244502.1'],[[1.08446406]],[[1.29802396]],[[1.19214826]],[[1.17743668]],[[0.94790011]],[[0.46012189]],[[0.44488214]],[[0.9460622]],[[0.91638843]],[[0.93774685]],[[0.89769129]],[[0.92813516]],[[0.63134941]]
['RNU6-1294P'],[[1.65504215]],[[2.49690228]],[[3.89918017]],[[2.67372656]],[[1.93271999]],[[2.62546292]],[[0.76921802]],[[0]],[[1.60206015]],[[1.8279886]],[[0]],[[1.12012564]],[[0]]
['AC009054.1'],[[0.77942046]],[[0.903721]],[[0.43082176]],[[0.53723941]],[[0.50873934]],[[0.40400546]],[[0.52628523]],[[0.19624993]],[[0.17278872]],[[0]],[[0.73495557]],[[0.37118512]],[[0.30186135]]
['AC026803.1'],[[1.10185574]],[[2.23749557]],[[1.69028635]],[[2.06874858]],[[2.09849413]],[[0.89670102]],[[0.50853751]],[[0.55217297]],[[0.49277922]],[[0.59462829]],[[1.27337971]],[[0.55528983]],[[0.24633156]]
['AC007598.1'],[[0.88495233]],[[0.14477974]],[[0.32549216]],[[0.66925181]],[[0.37674166]],[[0.83467749]],[[0.32898096]],[[0.50985021]],[[0.12767924]],[[0.10740048]],[[0.1117349]],[[0.27904655]],[[0.32641257]]
['SUB1P3'],[[0.44171782]],[[1.96456506]],[[0.76213811]],[[2.15736152]],[[1.87960428]],[[1.65741555]],[[1.63832271]],[[0.66253855]],[[1.33732498]],[[0.88763367]],[[0]],[[0.66614708]],[[1.51695841]]
['AP000365.1'],[[1.28266652]],[[2.34031447]],[[1.91991556]],[[2.23353361]],[[1.08720633]],[[1.65741555]],[[0.43527956]],[[1.96876459]],[[1.60206005]],[[0.88763367]],[[0.9151726]],[[1.46492378]],[[0]]
['AL022067.1'],[[1.48083512]],[[2.10098149]],[[1.73118671]],[[2.10851699]],[[1.98802159]],[[0.1936254]],[[0.43527954]],[[0.47360733]],[[1.12930261]],[[0]],[[0.37324722]],[[0.47635044]],[[0.20808758]]
['RNU6-94P'],[[1.00217521]],[[0.94781141]],[[1.56013119]],[[1.02370176]],[[0.93257675]],[[0.89670102]],[[0.50853751]],[[0.55217297]],[[0.49277922]],[[0.4222929]],[[0.23530917]],[[0]],[[0]]
['AC103724.4'],[[0.77942056]],[[1.11181929]],[[0.94710744]],[[1.27007493]],[[0.72147604]],[[0.89670112]],[[0]],[[0.82956894]],[[0.42147291]],[[0.35994801]],[[0]],[[0.8338533]],[[0]]
['AL139035.1'],[[1.65504204]],[[1.73220853]],[[0.76213811]],[[1.55508288]],[[0.62169368]],[[0.51692476]],[[1.04020386]],[[0.66253855]],[[0]],[[0.51103218]],[[1.21951983]],[[0.66614708]],[[2.0902686]]
