['FUT7'],[[1.40383829]],[[2.76208759]],[[2.49999723]],[[2.63573221]],[[2.6192639]],[[2.63366757]],[[1.74186625]],[[1.99936722]],[[1.36334843]],[[1.5426605]],[[1.22132067]],[[1.43974937]],[[0.98747697]]
['LINC02363'],[[1.73848161]],[[1.57077737]],[[1.52327114]],[[2.07705914]],[[2.23306401]],[[1.71859272]],[[2.13566285]],[[2.60890774]],[[2.07261974]],[[1.5318555]],[[1.34772397]],[[1.57809563]],[[0.92627576]]
['ZNF467'],[[1.47124563]],[[2.31457454]],[[2.20324647]],[[2.30100402]],[[2.61686657]],[[2.14363662]],[[1.4948393]],[[2.14456669]],[[1.67734659]],[[1.63585083]],[[1.52790072]],[[1.71508125]],[[1.19132228]]
['TMEM45A'],[[2.18649883]],[[1.84806138]],[[1.21352586]],[[1.86518225]],[[3.18297704]],[[1.52222642]],[[1.94085573]],[[2.56823804]],[[2.45806384]],[[2.07908065]],[[2.0726236]],[[2.20701006]],[[0.92627588]]
['RGMA'],[[0.73638731]],[[2.33062936]],[[2.48970435]],[[2.79640293]],[[1.05885005]],[[1.63523486]],[[1.27480774]],[[0.86798767]],[[0.82916999]],[[2.07908038]],[[0.20495114]],[[0.40094276]],[[1.13782133]]
['EXT1'],[[1.04885484]],[[2.14237329]],[[2.14236111]],[[2.35494441]],[[2.32198756]],[[2.02082375]],[[1.61336327]],[[1.85064751]],[[1.40858699]],[[1.03168312]],[[1.13010275]],[[1.42012751]],[[0.98821649]]
['FES'],[[1.56921866]],[[2.40175159]],[[2.24804805]],[[2.28526563]],[[2.38469448]],[[1.70593835]],[[1.28260807]],[[1.75680983]],[[1.37411591]],[[1.46315658]],[[1.09249441]],[[1.27420797]],[[1.02060844]]
['ZNF438'],[[1.51152608]],[[2.38750771]],[[2.53603816]],[[2.66419908]],[[2.79079591]],[[2.55031443]],[[2.08115958]],[[2.125491]],[[1.556846]],[[1.38053043]],[[1.24839232]],[[1.51209915]],[[0.94474251]]
['TREML3P'],[[1.72630659]],[[1.90526229]],[[1.97389137]],[[1.96343788]],[[3.38809451]],[[1.97116652]],[[2.07467774]],[[3.39902152]],[[2.6675331]],[[1.93353599]],[[1.71376203]],[[2.73122483]],[[1.28722578]]
['IFITM2'],[[1.81422072]],[[2.40283551]],[[2.38317996]],[[2.4332444]],[[2.77132672]],[[2.20799102]],[[1.72479764]],[[2.18104155]],[[1.72524933]],[[1.74214924]],[[1.36833028]],[[1.5906258]],[[1.20057706]]
['TCN2'],[[0.776181]],[[2.38882304]],[[2.08703485]],[[2.33788557]],[[2.01856086]],[[2.11966834]],[[1.47909018]],[[2.06334192]],[[1.52487521]],[[1.22101614]],[[0.89140575]],[[1.09447532]],[[1.02414329]]
['LILRP1'],[[1.77568105]],[[2.18327691]],[[2.3554489]],[[2.36840784]],[[2.52355544]],[[1.99937683]],[[1.8071447]],[[1.86571486]],[[1.43409626]],[[1.55714001]],[[1.14083936]],[[1.19664459]],[[1.05012072]]
['LILRA5'],[[1.77971309]],[[2.52415886]],[[2.48346892]],[[2.50181338]],[[2.90569079]],[[2.90698707]],[[2.29744305]],[[2.70872696]],[[1.83786295]],[[1.68156504]],[[1.36356433]],[[1.58617879]],[[0.98032173]]
