['AHRR'],[[1.47300611]],[[0.83191631]],[[0.99224475]],[[1.35477054]],[[1.34687017]],[[1.15621726]],[[0.3831809]],[[1.87401782]],[[1.17920817]],[[1.53638594]],[[1.33194434]],[[2.76609589]],[[0.74439628]]
['NEK5'],[[1.12697165]],[[1.02861462]],[[0]],[[0.81162131]],[[0.45774979]],[[0.55393544]],[[0]],[[0.75397872]],[[0.58750022]],[[0]],[[0.4488408]],[[0.863785]],[[0.92627588]]
['FAM196B'],[[1.47300618]],[[2.8560666]],[[2.79403472]],[[2.1369535]],[[1.78641934]],[[2.72618153]],[[2.82462246]],[[2.04742487]],[[1.78422035]],[[2.36370809]],[[1.30815517]],[[1.44539317]],[[0]]
['MIR505'],[[0.37406521]],[[1.35619825]],[[1.86317492]],[[0]],[[0.74538701]],[[0.95320554]],[[0]],[[1.04018558]],[[0.68998182]],[[0.94226047]],[[1.17464232]],[[0.77744628]],[[0.67829067]]
['RPL31P52'],[[0.91685778]],[[0.47511008]],[[0.57979714]],[[0.64744085]],[[0.69643965]],[[0.43409574]],[[0.93556754]],[[0.55141272]],[[0.4623982]],[[0.75800678]],[[0.94302543]],[[0.37554104]],[[0]]
['HCG20'],[[1.61917672]],[[1.35619825]],[[1.21352586]],[[1.53004912]],[[1.26848599]],[[0]],[[0.85697627]],[[1.08655144]],[[0.91844487]],[[0.94226047]],[[0.53219247]],[[0.74432268]],[[0.67829067]]
['AC067945.1'],[[1.18681622]],[[1.33776507]],[[0.83445097]],[[1.09273118]],[[1.21346215]],[[0.71687391]],[[0.5917023]],[[0.85227741]],[[0.65849483]],[[1.00570957]],[[0.95260515]],[[0.97339909]],[[0.8829102]]
['AC015691.1'],[[1.22156659]],[[0.47511008]],[[0]],[[0.35973883]],[[1.03953671]],[[0.43409574]],[[1.33403708]],[[0.85654076]],[[0.62482739]],[[0.75800678]],[[0.40959972]],[[0.66774118]],[[0.74439635]]
['AC244502.1'],[[1.3210609]],[[0.69379978]],[[0.69447784]],[[0.71121785]],[[0.82195179]],[[0.40251315]],[[0.35486188]],[[0.86058564]],[[0.74220097]],[[0.9422607]],[[0.96275062]],[[0.92301316]],[[0.7281517]]
['RNU6-1294P'],[[1.22156638]],[[1.73991052]],[[1.57461271]],[[1.09273113]],[[1.28274109]],[[1.63523519]],[[0.68565159]],[[0.92014813]],[[0.86461456]],[[2.15567217]],[[0.82058109]],[[0.98030789]],[[0.53623398]]
['AC009054.1'],[[1.22156638]],[[0]],[[1.98835134]],[[0]],[[1.44371232]],[[1.92922637]],[[1.49839657]],[[1.14363275]],[[0.67905469]],[[0]],[[1.58256065]],[[1.210463]],[[0.92627563]]
['AC026803.1'],[[0.5785355]],[[1.45071827]],[[1.34419048]],[[1.32789752]],[[1.51345123]],[[0.20917673]],[[1.05772807]],[[0.3241966]],[[0.40205489]],[[0.20612993]],[[0.61773304]],[[0.77742717]],[[0.58515702]]
['AC007598.1'],[[1.35275725]],[[0.47511008]],[[1.79626333]],[[1.27260114]],[[0.87552478]],[[1.03786799]],[[1.77977008]],[[1.30739812]],[[0.71080835]],[[0.4282243]],[[0.96383195]],[[1.28224078]],[[0.74439635]]
['SUB1P3'],[[1.22156638]],[[2.29285261]],[[1.57461271]],[[1.93807293]],[[1.89749226]],[[0]],[[2.21740775]],[[1.69418494]],[[0.96367255]],[[0.75800685]],[[0.40945674]],[[1.01668114]],[[0.53623398]]
['AP000365.1'],[[2.00690625]],[[1.35619815]],[[2.30949983]],[[1.89478206]],[[0.54355103]],[[1.5684975]],[[0.57215516]],[[0.71869151]],[[0.63196384]],[[0.35214954]],[[0.42103162]],[[0.76853057]],[[0.62313497]]
['AL022067.1'],[[1.26028254]],[[1.08021744]],[[1.43076982]],[[1.47512323]],[[1.84263603]],[[0.48667904]],[[0]],[[0.87962458]],[[0.72807003]],[[0.4802075]],[[0.63658355]],[[0.70861662]],[[1.10943484]]
['RNU6-94P'],[[2.44360488]],[[1.35619848]],[[2.79403472]],[[2.73636033]],[[2.49089041]],[[1.92922659]],[[1.77977014]],[[1.61581802]],[[1.46907949]],[[0]],[[1.12162786]],[[1.33237892]],[[1.88795119]]
['AC103724.4'],[[0.2892439]],[[0]],[[0.99224481]],[[0.88719829]],[[0.58013432]],[[0.43409574]],[[0.93556754]],[[0.41182676]],[[0.22253652]],[[0]],[[0.46786239]],[[0.4778239]],[[0.53623399]]
['AL139035.1'],[[0.23584923]],[[0.39178902]],[[0.48100044]],[[0.74817309]],[[0.28589182]],[[0.64311909]],[[0.57215516]],[[0.79820307]],[[0.40777914]],[[1.25235809]],[[0.73253001]],[[0.7489378]],[[0.44376105]]
