['SNX25'],[[1.27991386]],[[0.88768073]],[[0.79911799]],[[0.78577488]],[[0.68188002]],[[0.85341287]],[[1.00448573]],[[1.06735451]],[[0.99594022]],[[0.98708912]],[[1.2523474]],[[1.32209586]],[[1.26153132]]
['CRTAM'],[[1.11863607]],[[0.58667764]],[[0.67047337]],[[0.36920621]],[[0.63154452]],[[0.49353541]],[[0.82221712]],[[0.90881202]],[[1.09285527]],[[0.91138123]],[[1.06509912]],[[1.22383139]],[[1.04269594]]
['CCND1'],[[1.36353548]],[[0.95486775]],[[1.41380609]],[[0.50342834]],[[1.07418242]],[[0.95191653]],[[1.16487519]],[[1.03480501]],[[1.70096025]],[[1.1699566]],[[1.56914534]],[[1.52101414]],[[1.66008484]]
['UPK2'],[[1.23709053]],[[0.89545886]],[[0.52196747]],[[1.01488854]],[[0.69290585]],[[0.51428417]],[[0.46418955]],[[0.40106006]],[[0.97027148]],[[0.72664608]],[[1.72608374]],[[1.5210139]],[[0.86349722]]
['EXPH5'],[[1.23709066]],[[0.68000131]],[[0.49246982]],[[0.59490525]],[[0.62173502]],[[0.80104392]],[[0.9150225]],[[0.78778059]],[[0.92278898]],[[1.07938772]],[[1.20666106]],[[1.46782315]],[[1.27522691]]
['PPFIBP1'],[[0.88617295]],[[0.64074211]],[[0.64771597]],[[0.57032172]],[[0.59297493]],[[0.59831026]],[[0.71828194]],[[0.83606203]],[[0.88297211]],[[0.87566541]],[[1.01742431]],[[1.11683329]],[[1.1476374]]
['CYP27B1'],[[1.50195172]],[[1.1955382]],[[0.83563455]],[[0.3854022]],[[0.52594112]],[[1.48480754]],[[1.2426645]],[[0.46944145]],[[0.84163533]],[[0.6683994]],[[0.6034676]],[[0.24731103]],[[0.40901329]]
['IFNG'],[[0.97779113]],[[0.31703996]],[[0.39107024]],[[0.10152967]],[[0.5802224]],[[0.24312173]],[[0.40634276]],[[0.35015244]],[[0.42398007]],[[0.68528274]],[[0.89964538]],[[1.0486058]],[[0.86349732]]
['LDHB'],[[1.26830799]],[[0.85334542]],[[0.97254304]],[[0.83756524]],[[0.62177695]],[[0.83851659]],[[0.88439172]],[[0.99267388]],[[1.05017122]],[[1.15808368]],[[1.18012666]],[[1.34780193]],[[1.26169657]]
['ST8SIA1'],[[0.99543675]],[[0.73162818]],[[0.59813047]],[[0.72787187]],[[0.66426658]],[[0.63287546]],[[0.74653119]],[[0.79287269]],[[1.1677654]],[[1.05361366]],[[1.28846389]],[[1.27117206]],[[1.43157979]]
['UST'],[[1.08194256]],[[0.5518285]],[[0.5036023]],[[0.27816974]],[[0.72400619]],[[0.61857389]],[[0.80179614]],[[0.99141943]],[[1.24057515]],[[0.97712605]],[[1.04121789]],[[1.34782822]],[[1.0011119]]
['MDGA1'],[[1.01761828]],[[0.59072281]],[[0.52196763]],[[0.41168833]],[[0.52040572]],[[0.43584797]],[[0.73321416]],[[0.68100169]],[[1.11845836]],[[0.85507717]],[[1.16649928]],[[1.14799921]],[[1.15476925]]
['GPR63'],[[1.94492424]],[[0.33120129]],[[0.83563455]],[[1.65240288]],[[0.44838687]],[[1.34586586]],[[1.6085858]],[[1.80724239]],[[1.18851804]],[[1.56772207]],[[2.5898885]],[[1.61207851]],[[2.20337402]]
['PERP'],[[2.08181413]],[[1.7454112]],[[1.97202177]],[[1.57601352]],[[0.91901926]],[[1.7411313]],[[1.09668428]],[[1.20211212]],[[1.00428721]],[[1.56772164]],[[1.39472116]],[[1.14401533]],[[1.42604393]]
['SEMA5A'],[[0.82827274]],[[0.57680645]],[[0.3564022]],[[0.19638161]],[[0.2237812]],[[0.68870511]],[[0.54683038]],[[0.58842861]],[[0.38573712]],[[1.02073478]],[[1.22628029]],[[1.32984131]],[[1.19389588]]
['ITK'],[[1.14674696]],[[0.62236688]],[[0.69041724]],[[0.56513579]],[[0.64479835]],[[0.7322724]],[[0.83098206]],[[0.81036189]],[[1.00671724]],[[1.02073495]],[[1.1722471]],[[1.36239462]],[[1.20778948]]
['ACVR2B'],[[1.25493998]],[[0.73946988]],[[0.84133757]],[[0.57366831]],[[0.46607715]],[[0.93867109]],[[0.89181459]],[[0.94878879]],[[0.84476964]],[[1.10572657]],[[1.26524875]],[[1.30785158]],[[1.29706221]]
