['ANKRD9'],[[0.66200926]],[[0.71341742]],[[0.58904849]],[[0.68692897]],[[1.09041975]],[[0.81291568]],[[1.03687767]],[[1.46887525]],[[2.73957734]],[[1.16631308]],[[1.28774173]],[[1.15069375]],[[1.09216878]]
['ALAS2'],[[0.7333508]],[[0.75663363]],[[0.73864602]],[[0.94744862]],[[1.55422246]],[[0.76728295]],[[1.12967111]],[[1.60804629]],[[3.51171698]],[[1.22664174]],[[1.02554807]],[[1.00381547]],[[0.92753213]]
['TREML1'],[[0.60130705]],[[0.64784501]],[[0.72219516]],[[0.79390713]],[[1.0125211]],[[0.8825034]],[[1.3768389]],[[1.71603561]],[[2.0576319]],[[1.52431448]],[[1.09720167]],[[1.05128173]],[[0.85725582]]
['TRIM58'],[[0.66002859]],[[0.6507713]],[[0.6709442]],[[0.75344761]],[[0.7990662]],[[1.11476072]],[[1.01265836]],[[1.41823289]],[[2.27855277]],[[1.07055459]],[[1.1544435]],[[1.1323417]],[[1.05189712]]
['KLHDC8A'],[[0.5607438]],[[0.45707331]],[[0.60700557]],[[0.52839503]],[[0.83047741]],[[0.80104392]],[[0.9150225]],[[1.21700843]],[[2.10327586]],[[1.24796041]],[[1.04121803]],[[1.16775484]],[[0.8634972]]
['COL6A3'],[[0.98591227]],[[0.73370819]],[[0.89826724]],[[0.89286925]],[[0.87059192]],[[1.17714008]],[[1.77106273]],[[2.18734297]],[[2.02711708]],[[1.46315873]],[[1.04554138]],[[1.12678479]],[[1.01071332]]
['CMBL'],[[0.92965303]],[[0.58667753]],[[1.01230254]],[[1.23939528]],[[1.94863321]],[[0.89264005]],[[1.6264304]],[[1.78951903]],[[4.12640836]],[[1.61987942]],[[1.0071058]],[[0.99052356]],[[1.26978938]]
['GPR146'],[[0.73001315]],[[0.56196008]],[[0.63586115]],[[0.75232108]],[[1.18938759]],[[0.69577474]],[[0.86829509]],[[1.12471461]],[[2.86172087]],[[1.10027302]],[[1.09713317]],[[1.10673691]],[[1.11215408]]
['MARCH8'],[[0.70395762]],[[0.73457462]],[[0.7385705]],[[0.86110141]],[[0.93557456]],[[0.9729854]],[[0.95224076]],[[1.1826399]],[[2.02235696]],[[1.0251212]],[[1.16399907]],[[1.11012085]],[[1.12608352]]
['RBPMS2'],[[0.68453191]],[[0.72811178]],[[0.83192058]],[[0.64532981]],[[1.05617063]],[[0.72569635]],[[1.38849178]],[[1.65947203]],[[1.95776306]],[[1.77804325]],[[0.99066141]],[[1.32714925]],[[1.07516813]]
['EPB42'],[[0.65094035]],[[0.68533344]],[[0.63240905]],[[0.86217019]],[[1.14202119]],[[0.78134434]],[[1.13902378]],[[1.36340684]],[[2.77491352]],[[1.3101478]],[[1.22642619]],[[1.17829805]],[[1.06442468]]
['MAP1A'],[[0.66359782]],[[0.62516181]],[[0.65338852]],[[0.65614277]],[[0.73673967]],[[0.82171222]],[[1.51385767]],[[1.94761322]],[[1.8274359]],[[1.367635]],[[1.03882928]],[[0.94095187]],[[0.78370414]]
['SAMD14'],[[0.85499984]],[[0.6467267]],[[0.60360784]],[[0.66655556]],[[0.93833591]],[[0.78377627]],[[1.66360412]],[[2.11067086]],[[2.5341712]],[[1.74611727]],[[1.35907534]],[[1.10614367]],[[1.00739131]]
['KRT1'],[[0.74011209]],[[0.65259179]],[[0.70660597]],[[0.8087956]],[[1.2452938]],[[0.9113885]],[[1.03190273]],[[1.28888371]],[[3.02957264]],[[1.18076111]],[[1.25424175]],[[1.16258747]],[[1.11208765]]
['AHSP'],[[0.65228745]],[[0.59860449]],[[0.62750439]],[[0.76703056]],[[1.08286963]],[[0.77000384]],[[1.13648398]],[[1.5593702]],[[3.41758596]],[[1.38026531]],[[1.15767838]],[[1.1655779]],[[1.01106433]]
['BCL2L1'],[[0.67358264]],[[0.63046223]],[[0.64210568]],[[0.76575438]],[[0.95532887]],[[0.82477938]],[[0.98346647]],[[1.23190361]],[[2.33240402]],[[1.10854425]],[[1.17155337]],[[1.13431275]],[[1.12577202]]
['BPGM'],[[0.75573709]],[[0.75079905]],[[0.75462197]],[[0.80723418]],[[0.772818]],[[0.98488876]],[[1.12811124]],[[1.53635007]],[[2.41112981]],[[1.05184852]],[[1.17579247]],[[1.09954503]],[[1.18929607]]
['ABLIM3'],[[0.70526444]],[[0.66701288]],[[0.65937903]],[[0.74089175]],[[0.88157831]],[[0.79712878]],[[1.43672238]],[[1.73718426]],[[1.78696341]],[[1.43421226]],[[1.11732744]],[[1.02028086]],[[0.93565991]]
['C1QA'],[[1.44500315]],[[1.14786805]],[[0.96765094]],[[0.58549941]],[[0.86855186]],[[1.88489281]],[[2.08430425]],[[1.93690492]],[[2.03734838]],[[0.74843702]],[[0.73625979]],[[0.88367018]],[[0.79962679]]
['SELP'],[[0.66338015]],[[0.7009312]],[[0.71121634]],[[0.76670169]],[[1.01018699]],[[0.94778249]],[[1.24131435]],[[1.72050808]],[[1.81628156]],[[1.45417587]],[[1.02796732]],[[0.97666331]],[[0.78980164]]
['SLC6A19'],[[0.32708948]],[[0.71822008]],[[0.72584445]],[[0.82012591]],[[2.22280441]],[[0.71583006]],[[2.0465689]],[[1.86550003]],[[5.18517043]],[[0.98708903]],[[1.66175753]],[[1.26450343]],[[1.39992954]]
['UBE2O'],[[0.75007038]],[[0.68970483]],[[0.69623288]],[[0.78097871]],[[0.82636474]],[[0.8675706]],[[1.18186282]],[[1.59941632]],[[2.2636703]],[[1.22416566]],[[1.22838862]],[[1.18591474]],[[1.06494247]]
['ERFE'],[[0.59355459]],[[0.28101616]],[[0.90444503]],[[1.60477983]],[[1.08692617]],[[1.05012784]],[[2.14270078]],[[2.82559815]],[[5.007804]],[[1.78887488]],[[1.66175753]],[[1.44047361]],[[1.39992941]]
['SIAH2'],[[0.75076769]],[[0.85108473]],[[0.83993721]],[[0.91696487]],[[1.01800905]],[[1.00748116]],[[1.09052214]],[[1.42151165]],[[2.67265962]],[[1.03995745]],[[1.11048545]],[[1.07550671]],[[0.97077552]]
['GLRX5'],[[0.75568698]],[[0.72416328]],[[0.7532016]],[[0.84299088]],[[1.17804937]],[[1.02477851]],[[1.00402445]],[[1.30922143]],[[2.71321081]],[[1.0982046]],[[1.16297369]],[[1.08305112]],[[1.19370162]]
['ARHGEF37'],[[0.54645011]],[[0.54678071]],[[0.64196997]],[[1.04068334]],[[0.94293021]],[[1.02865517]],[[1.1853448]],[[1.26084932]],[[2.3912808]],[[1.14798018]],[[1.09324456]],[[1.12421875]],[[1.10509002]]
['FAM46C'],[[0.63898404]],[[0.60121275]],[[0.61907109]],[[0.66204832]],[[0.84104544]],[[0.93405951]],[[0.89456414]],[[1.13511984]],[[1.96960882]],[[0.94560373]],[[1.16898271]],[[1.08341877]],[[1.08754829]]
['PROS1'],[[0.58665209]],[[0.65828166]],[[0.65130916]],[[0.677574]],[[0.86165956]],[[1.06831053]],[[1.35627953]],[[1.47509152]],[[1.39084469]],[[1.39676698]],[[1.01781237]],[[0.86242623]],[[0.68250087]]
['OSBP2'],[[0.64892186]],[[0.62636746]],[[0.61817379]],[[0.73171762]],[[0.92669907]],[[0.73846197]],[[1.41463195]],[[1.71825197]],[[2.73802277]],[[1.21067948]],[[1.29578312]],[[1.34579599]],[[1.25859262]]
['EMID1'],[[0.79507233]],[[0.65394755]],[[0.36805094]],[[1.01488843]],[[1.0074379]],[[0.58464135]],[[0.81482456]],[[1.22362297]],[[2.57159688]],[[1.24131601]],[[0.9363619]],[[0.83117681]],[[0.863497]]
['RHD'],[[0.72490914]],[[0.61631168]],[[0.82177911]],[[0.96245922]],[[0.83740186]],[[0.9939088]],[[1.24718483]],[[1.6373662]],[[2.1843012]],[[1.5883567]],[[1.18280935]],[[1.21483607]],[[0.93916663]]
['SHISA7'],[[0.81839247]],[[1.16126848]],[[0.94584256]],[[1.1032224]],[[1.64366692]],[[0.85042759]],[[1.43719583]],[[1.4868113]],[[3.14107614]],[[1.77168693]],[[1.78766386]],[[1.54046586]],[[1.64010986]]
