N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
80,0.0796847818354596,0.8967321482435654,0.0882032426267548,0.885224040433046,0.0699123019856075,80
90,0.0796894307597883,0.896725775089751,0.0884726980545153,0.8848352999247098,0.0713558077727313,80
100,0.0767626281333439,0.9007282771008094,0.0857091747708794,0.8886867476337533,0.0715703283607697,80
150,0.0682875287637102,0.91221921054089,0.0839367945976622,0.8913089324379755,0.0734885715717798,80
200,0.0634228682764748,0.9187500229223204,0.0837346744281111,0.8918569686599848,0.0745501958584843,80
250,0.0590822705406558,0.9245383360159596,0.0837433994138681,0.8919887309145877,0.0749292947151511,80
300,0.0556712736370006,0.9290616950216894,0.0864335472562061,0.8886214385839886,0.0756347657624807,80
2,0.1736719183954011,0.7560907576917213,0.1754987302317069,0.7581509291994937,0.0487773748792803,20
3,0.1683832398333641,0.7646675097533469,0.1720914635090997,0.7635909106577905,0.0539609991276675,20
4,0.1656282265407812,0.7690976322940679,0.1683623875367288,0.769531400609649,0.0546541454436831,20
5,0.161843804059271,0.7751414458628972,0.1641944148940005,0.7760165061249608,0.058480867788233,20
6,0.1578980382101238,0.7813936883970087,0.1605147318923373,0.7817394577197755,0.0557433725809028,20
7,0.1570191315049739,0.7827792563234086,0.1608568487891589,0.7811997948155129,0.0605754295271045,20
8,0.1522454911153805,0.7902637570172757,0.155147001880215,0.7900285576929544,0.0613971415300021,20
9,0.1428351039835985,0.8048139917524362,0.1462746037983784,0.803486504670226,0.0630354935825809,20
10,0.145868352416445,0.8001528974784811,0.1492578294993845,0.798988694320211,0.0630597727318261,20
20,0.1225080404423753,0.8353791147972922,0.1260398327616108,0.8334293546129692,0.0648164467611403,20
30,0.111057473216666,0.8521142765434964,0.1156480652188588,0.8484192508598049,0.066504898483407,20
40,0.0992202551870832,0.8690758574694861,0.1048490069150039,0.863680722454246,0.0685236250796036,20
50,0.0939487035791596,0.8765238577805119,0.0998051179500233,0.8707615769819088,0.0683292474674664,20
60,0.0877148619280148,0.8852505955565639,0.0939206714595692,0.8788872379523222,0.070215401639193,20
70,0.0847787242799482,0.889331220841233,0.0931662583488718,0.8799751673413061,0.0702714233080657,20
80,0.0811657710506333,0.8943269291454304,0.0904378321457616,0.8837039262053055,0.0706300657594038,20
90,0.0782258540689701,0.8983715141882279,0.087901068183375,0.8871925035795134,0.070140619399138,20
100,0.075871088555066,0.9015979940953236,0.0853473420049806,0.8907024306672995,0.0719682861612719,20
150,0.0682246492962359,0.9119963676102022,0.0835761409570991,0.893182819744259,0.073394963313138,20
200,0.0633166482341425,0.9186087251360116,0.0844152127747642,0.8922407083962416,0.0741623601425668,20
250,0.0594368118035424,0.9238023813298304,0.0846962644926117,0.8921830237215587,0.075128983785634,20
300,0.0559394358875361,0.9284591682617264,0.085324865805121,0.8915995592607556,0.0755755262603524,20
2,0.1735961530117951,0.7566617609859617,0.1744743042151733,0.7580378841958634,0.0482696587067949,60
