['AHRR'],[[0.82414215]],[[0.63248174]],[[0.83024886]],[[0.72744571]],[[0.2394584]],[[1.04976261]],[[0.77377715]],[[0.39152242]],[[0.19900602]],[[1.02112947]],[[0.2357114]],[[1.75586981]],[[2.3567743]]
['FUNDC2P2'],[[2.16638577]],[[2.46665343]],[[0]],[[1.38628289]],[[0.98026219]],[[0.93907979]],[[1.09463095]],[[1.41436343]],[[1.70877061]],[[2.43620794]],[[1.63719875]],[[1.94589152]],[[3.14344791]]
['RGS7'],[[0.94889479]],[[0.32369675]],[[1.30126903]],[[0.62106908]],[[0.64574844]],[[0.38489901]],[[0]],[[0.56814757]],[[0.62721413]],[[1.61306694]],[[0.74117035]],[[1.37008938]],[[1.20542736]]
['IFIT1'],[[1.25488442]],[[1.40763977]],[[1.21360057]],[[1.27386336]],[[1.42747485]],[[0.55054626]],[[0.74503389]],[[0.83763048]],[[0.7542247]],[[1.65834885]],[[0.74474097]],[[1.1386075]],[[1.39740567]]
['NEK5'],[[1.26038097]],[[0]],[[2.43118592]],[[0.85361369]],[[0.83685479]],[[1.50315017]],[[0]],[[1.28996703]],[[1.04142499]],[[1.86683041]],[[0.82240458]],[[1.53696715]],[[0]]
['FAM196B'],[[1.26038091]],[[1.43181047]],[[1.06924962]],[[0.26514331]],[[0.5157913]],[[1.248509]],[[0.36052853]],[[0.63208495]],[[0.51486088]],[[0.28760085]],[[0.33228684]],[[0]],[[0.79464975]]
['MIR505'],[[1.62918601]],[[0.81114208]],[[2.69859789]],[[2.08000475]],[[1.27747445]],[[1.90762677]],[[1.09463095]],[[1.68900291]],[[1.19608064]],[[0.91259996]],[[1.86681461]],[[0.96415428]],[[0.98516607]]
['RPL31P52'],[[1.03329434]],[[0]],[[1.06924976]],[[0.85361392]],[[0.90375923]],[[0.54463635]],[[1.09463099]],[[0.72543921]],[[0.61383577]],[[0.52728818]],[[1.19843076]],[[0]],[[0]]
['HCG20'],[[0]],[[0.95847182]],[[1.24666772]],[[0.4890402]],[[0.80047326]],[[0]],[[0.36052853]],[[0.6703303]],[[0.55433526]],[[0.73276942]],[[0.30429837]],[[0.77668482]],[[0.57509045]]
['AC067945.1'],[[1.23301117]],[[1.19542509]],[[1.41425875]],[[1.25080791]],[[1.282873]],[[0.64359681]],[[0.48846293]],[[0.90699697]],[[0.70359762]],[[1.53962905]],[[1.01179678]],[[0.9412901]],[[1.27614839]]
['AC015691.1'],[[1.11302809]],[[1.32722784]],[[0.79262869]],[[0.62106908]],[[0.99112141]],[[0]],[[0.46312883]],[[0.81441991]],[[0.59186321]],[[0.66747419]],[[0.38649899]],[[0.39722605]],[[0.40763969]]
['AC244502.1'],[[1.24199332]],[[1.24972794]],[[1.46826917]],[[1.20053713]],[[1.08714631]],[[0.26232988]],[[0.75806892]],[[1.13409308]],[[0.98935091]],[[1.05260252]],[[1.25698804]],[[0.83636218]],[[1.07540124]]
['RNU6-1294P'],[[1.62918601]],[[0.81114208]],[[1.06924923]],[[0.85361369]],[[1.59041985]],[[0.93907979]],[[1.09463095]],[[1.17149219]],[[1.10577813]],[[0]],[[1.05333514]],[[1.94589152]],[[2.29812047]]
['AC009054.1'],[[1.62918601]],[[2.00662155]],[[1.06924923]],[[1.38628289]],[[1.77166216]],[[1.90762677]],[[0]],[[1.43160504]],[[0.88259627]],[[1.46721114]],[[1.92607347]],[[1.94589152]],[[0]]
['AC026803.1'],[[0.90476822]],[[0.46184305]],[[1.40463751]],[[0.8536138]],[[1.97416723]],[[0.93907978]],[[0.64873431]],[[0.48322867]],[[0.59214719]],[[0.73276942]],[[0.88279349]],[[1.41365318]],[[1.44052592]]
['AC007598.1'],[[0.94889479]],[[0.58790928]],[[0.45007766]],[[0.3437003]],[[0.83271455]],[[0.93907978]],[[0.46312883]],[[1.25105709]],[[0.67428065]],[[0.37199931]],[[0.91792748]],[[1.18135244]],[[0.98516642]]
['SUB1P3'],[[0.30170274]],[[1.00441792]],[[0.45007766]],[[1.05382657]],[[1.18601937]],[[0.38489901]],[[0]],[[1.03289213]],[[0.53066893]],[[0.37199931]],[[0.20607692]],[[0.39722605]],[[0.98516642]]
['AP000365.1'],[[1.62918601]],[[2.00662155]],[[1.67657567]],[[2.7331699]],[[1.38159488]],[[2.70128928]],[[1.09463095]],[[1.70740164]],[[1.5503107]],[[2.17942762]],[[1.130368]],[[1.53696715]],[[2.56015422]]
['AL022067.1'],[[0.76366229]],[[0.93018508]],[[0.73031824]],[[1.29433491]],[[1.82433316]],[[0.450931]],[[1.37285054]],[[0.8680664]],[[0.71804146]],[[1.16053866]],[[0.62755829]],[[1.09835453]],[[0.66696107]]
['RNU6-94P'],[[1.26038106]],[[0]],[[0]],[[1.14439409]],[[1.39044528]],[[0.93908005]],[[0]],[[0.78622582]],[[0.69648334]],[[0.52728818]],[[0.49838523]],[[0]],[[0]]
['AC103724.4'],[[0.30170274]],[[1.32722784]],[[0.79262869]],[[0.3437003]],[[0.54910438]],[[0.38489901]],[[1.09463098]],[[0.38861662]],[[0.20922198]],[[0.37199931]],[[0.44195162]],[[0]],[[0.98516642]]
['AL139035.1'],[[0.76366246]],[[0.46184293]],[[1.06924976]],[[0.48904028]],[[0.4693887]],[[0]],[[1.09463099]],[[1.1994114]],[[0.65360442]],[[0.91259992]],[[1.11149223]],[[0]],[[1.30410952]]
