['FGR'],[[1.06218909]],[[1.12642334]],[[1.11578368]],[[1.23754477]],[[1.59787468]],[[1.7259599]],[[1.70796745]],[[1.39946097]],[[0.96274823]],[[1.21881816]],[[0.84527637]],[[1.1281363]],[[0.88784245]]
['PANX2'],[[1.08416254]],[[1.38101671]],[[1.40306155]],[[1.53113413]],[[1.63151852]],[[1.35581603]],[[1.39597049]],[[1.13181052]],[[0.91692617]],[[1.5496313]],[[0.8877439]],[[1.20085322]],[[1.06198816]]
['EIF4G3'],[[1.21614898]],[[1.37371243]],[[1.39312182]],[[1.49678207]],[[1.87087249]],[[1.52734712]],[[1.48508033]],[[1.52672806]],[[1.23304586]],[[1.35723678]],[[1.10794932]],[[1.1207286]],[[1.13393387]]
['SLC25A40'],[[1.16327868]],[[1.42786014]],[[1.30246583]],[[1.52383102]],[[2.10955764]],[[1.38356745]],[[1.33489501]],[[1.59147122]],[[1.23097747]],[[1.03912281]],[[1.13518391]],[[0.93638954]],[[1.04378297]]
['PLD1'],[[1.32483808]],[[1.59084973]],[[1.56198935]],[[1.83542077]],[[2.13971622]],[[1.70764962]],[[1.75808996]],[[1.66982667]],[[1.33782938]],[[1.36431488]],[[1.21258576]],[[1.07044646]],[[1.16480771]]
['STXBP2'],[[1.08443877]],[[1.14590364]],[[1.2067345]],[[1.31669481]],[[1.51948729]],[[1.73504356]],[[1.99019834]],[[1.57134136]],[[1.19518307]],[[1.28521285]],[[0.89753879]],[[1.04646573]],[[0.94596747]]
['DGKD'],[[1.07375181]],[[1.15478293]],[[1.14636338]],[[1.26060493]],[[1.64776544]],[[1.31484548]],[[1.413723]],[[1.48852189]],[[1.15707963]],[[1.08407333]],[[1.09255402]],[[1.02131395]],[[0.94686407]]
['ACER3'],[[1.13060497]],[[1.1274242]],[[1.20007921]],[[1.26601907]],[[1.84351262]],[[2.00308771]],[[1.54795377]],[[1.86213442]],[[1.48872478]],[[0.96760397]],[[1.09067787]],[[0.92725094]],[[0.9777496]]
['NRDC'],[[1.1664821]],[[1.32141256]],[[1.33970246]],[[1.42979012]],[[1.92956027]],[[1.54809612]],[[1.41250884]],[[1.48782995]],[[1.18571352]],[[1.26753567]],[[0.98546793]],[[1.25752443]],[[1.11000348]]
['PGM1'],[[1.04533905]],[[1.2617512]],[[1.32910674]],[[1.32055429]],[[1.80221252]],[[1.45014393]],[[1.39344388]],[[1.32371736]],[[0.9991135]],[[1.13225453]],[[0.97318453]],[[1.00954429]],[[0.95680191]]
['PLOD1'],[[1.20938552]],[[1.42168703]],[[1.47538603]],[[1.58817603]],[[1.90011319]],[[1.56896267]],[[1.8263268]],[[1.62229607]],[[1.2362796]],[[1.66314209]],[[1.15123831]],[[1.10572867]],[[1.10371761]]
['SSH1'],[[1.11450479]],[[1.25159087]],[[1.2551225]],[[1.30783479]],[[1.83260289]],[[1.77489128]],[[1.70183452]],[[1.56330564]],[[1.14710919]],[[1.11973986]],[[1.00052495]],[[1.14538087]],[[1.05052017]]
['APLP2'],[[1.16270891]],[[1.32866503]],[[1.29334554]],[[1.42397884]],[[1.66760836]],[[1.59157272]],[[1.70804166]],[[1.66912126]],[[1.23516963]],[[1.30475635]],[[1.03531224]],[[1.0250438]],[[1.00119438]]
['CD82'],[[0.9594463]],[[1.11061111]],[[1.07484924]],[[1.15375471]],[[1.26234035]],[[1.51833156]],[[1.31218737]],[[1.18251543]],[[0.89259488]],[[1.11086589]],[[0.74130536]],[[1.11952442]],[[0.87097536]]
['SNX10'],[[1.02675535]],[[1.22242651]],[[1.25377475]],[[1.25683889]],[[1.79177217]],[[1.43647581]],[[1.52911693]],[[1.42230506]],[[0.98776557]],[[1.30315007]],[[0.90267725]],[[1.13455226]],[[1.01934165]]
['LAT2'],[[1.05457064]],[[1.2340095]],[[1.20805737]],[[1.36890126]],[[1.83472274]],[[1.38712308]],[[1.63445043]],[[1.35097996]],[[1.08391161]],[[1.45673489]],[[0.94264743]],[[1.10896732]],[[1.04573558]]
['TRIP6'],[[1.35086789]],[[1.41489832]],[[1.4293626]],[[1.59872877]],[[1.54205843]],[[1.67991013]],[[1.61641998]],[[1.31187775]],[[0.93085802]],[[1.25394816]],[[0.813152]],[[1.14734825]],[[1.02429164]]
['LPCAT2'],[[1.17342329]],[[1.47666268]],[[1.43392862]],[[1.5056115]],[[1.80032971]],[[1.79862069]],[[1.6866476]],[[1.48954579]],[[1.02713992]],[[1.43541624]],[[0.90544744]],[[1.22926203]],[[1.13960656]]
['RFX2'],[[1.11000274]],[[0.93709365]],[[0.92316128]],[[1.014449]],[[1.50434912]],[[1.77664823]],[[1.84722708]],[[1.65469036]],[[1.04561821]],[[1.25616124]],[[0.78908972]],[[1.6019943]],[[1.18807979]]
['NSFL1C'],[[1.21331741]],[[1.2512998]],[[1.36681672]],[[1.59297847]],[[1.90819244]],[[1.40630612]],[[1.42464752]],[[1.54607915]],[[1.18734728]],[[1.34750653]],[[1.07972377]],[[1.24129373]],[[1.09995334]]
['PXN'],[[1.04498223]],[[1.14471757]],[[1.18595781]],[[1.2705797]],[[1.66215597]],[[1.5608388]],[[1.53682906]],[[1.32958308]],[[0.96215331]],[[1.25994805]],[[0.91370282]],[[1.19929607]],[[1.01038831]]
['GMIP'],[[1.18471415]],[[1.23948796]],[[1.25992479]],[[1.41544748]],[[1.55584579]],[[1.47161409]],[[1.50203229]],[[1.35500462]],[[0.99567761]],[[1.2847199]],[[0.87171945]],[[1.18207315]],[[1.00937027]]
['MAEA'],[[1.19716652]],[[1.35394061]],[[1.3980159]],[[1.43498071]],[[1.6860014]],[[1.48470936]],[[1.50275518]],[[1.35109631]],[[0.97855642]],[[1.2489507]],[[0.96369448]],[[1.23396484]],[[1.01806071]]
['OSBPL8'],[[1.10014996]],[[1.31778196]],[[1.31943914]],[[1.36776087]],[[1.85280845]],[[1.46261642]],[[1.52349265]],[[1.56561115]],[[1.11691321]],[[1.25067397]],[[1.10605779]],[[1.09171092]],[[1.04258018]]
['CMTM6'],[[1.0595308]],[[1.37433908]],[[1.33323145]],[[1.33966519]],[[2.0222207]],[[1.51111188]],[[1.64185557]],[[1.51322175]],[[1.04250568]],[[1.3587232]],[[0.97925039]],[[1.22268111]],[[1.03104169]]
['PPP2R3C'],[[1.12376188]],[[1.37270234]],[[1.23424843]],[[1.29696972]],[[2.16427694]],[[1.34572681]],[[1.12624633]],[[1.62714563]],[[1.16542015]],[[1.08919679]],[[1.13738299]],[[1.04333025]],[[1.01136761]]
['UNC13D'],[[1.15947672]],[[1.21953594]],[[1.25999981]],[[1.38196152]],[[1.51632614]],[[1.42219028]],[[1.50048627]],[[1.39862228]],[[1.09774058]],[[1.23608108]],[[0.98366436]],[[1.13595908]],[[0.96119361]]
['LRRFIP2'],[[1.1621381]],[[1.20505377]],[[1.2939636]],[[1.33089503]],[[1.92396312]],[[1.57864075]],[[1.4286895]],[[1.46090749]],[[1.15577213]],[[1.1741425]],[[1.03366772]],[[1.20574496]],[[1.10695142]]
['NANS'],[[0.96797648]],[[1.09355029]],[[1.1144282]],[[1.12535415]],[[1.80796993]],[[1.49019535]],[[1.36443845]],[[1.37510926]],[[1.05868541]],[[1.14662733]],[[0.91967646]],[[1.14639749]],[[1.04314793]]
['GTPBP1'],[[1.04931969]],[[1.13633002]],[[1.24656565]],[[1.32414112]],[[1.90110515]],[[1.30814332]],[[1.18653535]],[[1.23682487]],[[1.13396263]],[[1.25398011]],[[0.94970845]],[[1.1752895]],[[1.08440783]]
['TOM1'],[[1.13412553]],[[1.2082569]],[[1.18901228]],[[1.32984582]],[[1.521762]],[[1.48198214]],[[1.57533685]],[[1.26765219]],[[0.97848878]],[[1.26903108]],[[0.8497305]],[[1.20153243]],[[1.00597178]]
['THOC5'],[[1.05091159]],[[1.20151878]],[[1.20856942]],[[1.28317267]],[[1.50836458]],[[1.42138257]],[[1.41939406]],[[1.28778043]],[[0.95726511]],[[1.01433189]],[[0.80834465]],[[1.18624882]],[[1.00496779]]
['CSF2RB'],[[0.98341175]],[[1.10604698]],[[1.15356372]],[[1.2266344]],[[1.64219303]],[[1.51939397]],[[1.61045757]],[[1.26047342]],[[0.9022794]],[[1.26510233]],[[0.84499203]],[[1.22883586]],[[0.98996731]]
['PRMT5'],[[1.04090015]],[[1.09411788]],[[1.24018257]],[[1.23728714]],[[1.49154964]],[[1.49225175]],[[1.53458058]],[[1.50001311]],[[1.03106538]],[[1.03804926]],[[0.93726453]],[[1.2138094]],[[1.04479175]]
['RIN3'],[[1.0819376]],[[1.15313407]],[[1.17801598]],[[1.30100721]],[[1.77159271]],[[1.51530454]],[[1.58805906]],[[1.46073455]],[[1.08907043]],[[1.2272943]],[[1.0113312]],[[1.09070295]],[[0.99884006]]
['C20orf24'],[[1.09086095]],[[1.20568784]],[[1.1672809]],[[1.33554308]],[[1.56573841]],[[1.39839879]],[[1.78268461]],[[1.31038512]],[[0.99320777]],[[1.29593371]],[[0.88564704]],[[1.19184735]],[[0.91419049]]
['TPD52L2'],[[1.10017304]],[[1.3072638]],[[1.2662505]],[[1.36578465]],[[1.50288903]],[[1.4449134]],[[1.57923562]],[[1.40350901]],[[1.04437023]],[[1.32638372]],[[0.93984713]],[[1.18254858]],[[1.02692386]]
['DNAJC5'],[[1.08876017]],[[1.26767543]],[[1.27706749]],[[1.3532018]],[[1.50892271]],[[1.45766052]],[[1.56764841]],[[1.36132953]],[[1.03044748]],[[1.22978359]],[[0.91326481]],[[1.02513145]],[[1.01081923]]
['RASSF2'],[[1.11188342]],[[1.31961982]],[[1.26039571]],[[1.35899449]],[[1.77396062]],[[1.45691311]],[[1.61964493]],[[1.47843744]],[[1.05093099]],[[1.38858289]],[[0.97524415]],[[1.17894821]],[[1.07586103]]
['SIRPB1'],[[1.14779472]],[[1.3282591]],[[1.28187763]],[[1.41604817]],[[1.85892251]],[[1.68910348]],[[1.63402356]],[[1.6640831]],[[1.14229455]],[[1.33835618]],[[1.07165665]],[[1.24631362]],[[1.03028122]]
['DNTTIP1'],[[1.04888698]],[[1.07988146]],[[1.07525429]],[[1.24762928]],[[1.62399728]],[[1.34506381]],[[1.40426204]],[[1.34938329]],[[0.98809682]],[[1.27834573]],[[0.89525646]],[[1.06817395]],[[0.86511764]]
['ZNF516'],[[1.23045138]],[[1.4112698]],[[1.42397876]],[[1.58513727]],[[1.46742502]],[[1.59915249]],[[1.7367096]],[[1.43609653]],[[1.07880014]],[[1.36429616]],[[0.9152614]],[[1.17673754]],[[1.11970283]]
['PLP2'],[[1.1238436]],[[1.28213168]],[[1.24402742]],[[1.29283387]],[[1.58180855]],[[1.78787064]],[[1.83739797]],[[1.62210904]],[[1.15669961]],[[1.18282023]],[[0.92760657]],[[1.02273908]],[[0.90963146]]
['KCND1'],[[1.58991408]],[[1.64157763]],[[1.91533183]],[[2.27588921]],[[1.77435628]],[[1.81215695]],[[1.77963551]],[[1.58007487]],[[1.16119637]],[[1.55235323]],[[0.90630395]],[[1.23784294]],[[1.19076219]]
['PGK1'],[[0.95460341]],[[1.11178721]],[[1.11723522]],[[1.13260826]],[[1.63794794]],[[1.55809263]],[[1.47613019]],[[1.42199465]],[[1.02193]],[[1.08298825]],[[0.90878788]],[[1.03415747]],[[0.87469583]]
