['SDK2'],[[0.28550109]],[[0.21101316]],[[0.13297736]],[[0.58651264]],[[0.46123408]],[[0.67193133]],[[0.17725191]],[[1.07733534]],[[1.08705915]],[[0.74888302]],[[1.08224445]],[[1.00754034]],[[0.74682276]]
['PFN2'],[[0.58632322]],[[0.1854042]],[[0.05716343]],[[0.43886553]],[[0.3419109]],[[0.40360972]],[[0.14627793]],[[0.77540637]],[[0.63951018]],[[0.68443442]],[[0.67635562]],[[0.89199822]],[[0.66093988]]
['ST6GALNAC1'],[[0.19456718]],[[0.3371416]],[[0.31994475]],[[0.68672985]],[[0.35528621]],[[0.74504113]],[[0.40898764]],[[1.23306346]],[[0.69670905]],[[0.98470087]],[[1.10550003]],[[1.38167265]],[[1.23891497]]
['OSBPL3'],[[0.68419495]],[[0.57164943]],[[0.4112064]],[[0.65182977]],[[0.46853011]],[[0.51359606]],[[0.28003531]],[[0.96862128]],[[0.7954513]],[[0.75193736]],[[1.03731151]],[[1.15611564]],[[1.00834549]]
['MYO3B'],[[1.00767316]],[[0.7966837]],[[0]],[[2.1253904]],[[1.73151638]],[[0]],[[0.46715381]],[[2.32877295]],[[2.3120006]],[[0.4074083]],[[2.02957984]],[[2.90788983]],[[2.79745345]]
['ADGRL1'],[[0.63994738]],[[0.54032126]],[[0.49716757]],[[0.50528557]],[[0.42436395]],[[0.48191832]],[[0.21312286]],[[0.84893714]],[[0.72370962]],[[0.77725492]],[[0.82562665]],[[1.03764016]],[[0.91431355]]
['SIDT1'],[[0.72531353]],[[0.54919681]],[[0.4434729]],[[0.59452269]],[[0.4633928]],[[0.4626922]],[[0.23509514]],[[0.88842592]],[[0.81236616]],[[0.85153949]],[[0.95930341]],[[1.09728128]],[[0.92532556]]
['NLE1'],[[0.69523337]],[[0.39916831]],[[0.40160656]],[[0.60836514]],[[0.43471316]],[[0.65453726]],[[0.34334982]],[[0.99811333]],[[0.8832141]],[[0.94780005]],[[0.94089608]],[[1.08697378]],[[0.99766019]]
['GSDMB'],[[0.68198167]],[[0.61780686]],[[0.58256847]],[[0.75198323]],[[0.47077187]],[[0.59965975]],[[0.42386262]],[[0.95838554]],[[0.77317508]],[[0.83359943]],[[0.99416235]],[[1.10980215]],[[0.93056563]]
['PPP2R3A'],[[0.3442727]],[[0.37277545]],[[0.43038792]],[[0.7877753]],[[0.7017694]],[[0.88070252]],[[0.26775831]],[[1.26422366]],[[0.93080664]],[[0.52111913]],[[1.04128135]],[[1.065475]],[[1.06501828]]
['ST6GAL1'],[[0.53215811]],[[0.40901389]],[[0.4048528]],[[0.59562236]],[[0.41733307]],[[0.51020973]],[[0.3395304]],[[0.96621311]],[[0.85830781]],[[0.93776111]],[[0.95983925]],[[1.11599568]],[[1.01799931]]
['ZNF532'],[[0.66422289]],[[0.5350976]],[[0.56505346]],[[0.69444514]],[[0.61032742]],[[0.72166517]],[[0.27091493]],[[0.89054322]],[[0.91311597]],[[0.78564517]],[[1.06374965]],[[1.03021353]],[[1.01234621]]
['HACD3'],[[0.62379134]],[[0.47975425]],[[0.40527484]],[[0.65908299]],[[0.51359857]],[[0.55679099]],[[0.35012027]],[[1.00536519]],[[0.83627064]],[[0.86239217]],[[0.94221665]],[[1.10908402]],[[1.0296856]]
['TUBE1'],[[0.80847815]],[[0.46903895]],[[0.43038769]],[[0.65862225]],[[0.48407858]],[[0.60412693]],[[0.35399395]],[[0.89588022]],[[0.67596047]],[[0.707371]],[[0.81911939]],[[0.91497548]],[[0.88446492]]
['TULP3'],[[0.54833389]],[[0.72280301]],[[0.54602109]],[[0.78850487]],[[0.60695457]],[[0.63851309]],[[0.32759497]],[[1.09454863]],[[0.93007372]],[[1.07070955]],[[1.02489505]],[[1.34871041]],[[1.17245433]]
['CROCCP3'],[[0.71697878]],[[0.73697697]],[[0.48389844]],[[0.71185515]],[[0.52935757]],[[0.6513817]],[[0.47475907]],[[1.10375159]],[[0.84699494]],[[0.7355849]],[[1.06598635]],[[1.17818402]],[[0.95290829]]
['BCKDHB'],[[0.75053352]],[[0.46257759]],[[0.45169834]],[[0.59741319]],[[0.42392132]],[[0.58643054]],[[0.39368756]],[[0.87133858]],[[0.72600877]],[[0.74648642]],[[0.89706909]],[[0.94674958]],[[0.90604577]]
['OXCT1'],[[0.63212622]],[[0.42528618]],[[0.38402003]],[[0.59895117]],[[0.44033648]],[[0.46624277]],[[0.24799046]],[[0.87991933]],[[0.72218029]],[[0.84375229]],[[0.84725694]],[[0.99453701]],[[0.90015251]]
['ZNF416'],[[0.60244735]],[[0.50860587]],[[0.46128202]],[[0.65260281]],[[0.56075772]],[[0.64595036]],[[0.53528553]],[[0.97707137]],[[0.74031463]],[[0.90782968]],[[0.88250269]],[[1.13417771]],[[0.94740996]]
['RPS5'],[[0.4872517]],[[0.3852428]],[[0.44618989]],[[0.61414234]],[[0.49841927]],[[0.59511237]],[[0.36150999]],[[0.99636068]],[[0.90588549]],[[1.03562339]],[[0.86056959]],[[1.08473647]],[[0.94771867]]
['DDHD2'],[[0.67295557]],[[0.48231581]],[[0.42659124]],[[0.5979362]],[[0.46181168]],[[0.55604227]],[[0.36922057]],[[0.88847769]],[[0.78595005]],[[0.76319797]],[[0.8861964]],[[1.00234472]],[[0.90818238]]
['POMGNT1'],[[0.6548991]],[[0.52509376]],[[0.62234281]],[[0.7056866]],[[0.57355247]],[[0.75219821]],[[0.47339494]],[[1.10874096]],[[0.9514823]],[[1.03957314]],[[1.07349212]],[[1.22076472]],[[1.09311321]]
['ALG9'],[[0.74976713]],[[0.40267115]],[[0.40013175]],[[0.63314437]],[[0.47879063]],[[0.53569978]],[[0.48990794]],[[0.83880469]],[[0.76852583]],[[0.71817603]],[[0.82313208]],[[0.92765542]],[[0.86829037]]
['L2HGDH'],[[0.67515989]],[[0.52833321]],[[0.50800332]],[[0.63638521]],[[0.50336979]],[[0.44418451]],[[0.62877939]],[[0.91500473]],[[0.80514697]],[[0.7247393]],[[0.81999819]],[[1.00881323]],[[0.99570034]]
['METTL2A'],[[0.74740276]],[[0.55538642]],[[0.64750097]],[[0.72793844]],[[0.60807804]],[[0.69325945]],[[0.67850223]],[[1.0473731]],[[0.8839951]],[[1.01089348]],[[0.98877795]],[[1.24522993]],[[1.10319371]]
['DOCK3'],[[1.02369879]],[[0.60024347]],[[0.49111263]],[[0.53423378]],[[0.39859339]],[[0.50653669]],[[0.14008215]],[[0.97048661]],[[0.76018884]],[[1.09165047]],[[0.78282543]],[[1.02483468]],[[0.98824222]]
['KDM2B'],[[0.51748626]],[[0.46548528]],[[0.46011654]],[[0.64380273]],[[0.47313456]],[[0.69818792]],[[0.36059494]],[[1.00111904]],[[0.86109813]],[[0.8606839]],[[1.0146552]],[[1.18445405]],[[1.01525229]]
['SIRT4'],[[0.31615706]],[[0.73992935]],[[0.55973096]],[[0.52424929]],[[0.75426855]],[[0.75558246]],[[0.35399402]],[[1.14021708]],[[0.97079871]],[[0.30720687]],[[1.01412551]],[[1.25682614]],[[1.09706786]]
