['AHRR'],[[1.59518414]],[[1.3904628]],[[1.8507869]],[[2.08256446]],[[1.44563853]],[[2.01027064]],[[1.33886227]],[[1.99159217]],[[1.27033478]],[[1.56452749]],[[1.4300694]],[[2.90307394]],[[3.34790784]]
['FUNDC2P2'],[[0.60244734]],[[0.5396324]],[[0.1810271]],[[0.47471559]],[[0.20019053]],[[0.66213144]],[[0.30487356]],[[0.32748403]],[[0.42990876]],[[0.58688627]],[[0.40374885]],[[0.6690865]],[[0.88258906]]
['RGS7'],[[3.71457348]],[[3.5007317]],[[3.71872919]],[[4.11807958]],[[2.1272551]],[[2.25873656]],[[3.72641057]],[[1.95603424]],[[2.08735417]],[[0]],[[2.3240161]],[[3.32317577]],[[2.52681349]]
['IFIT1'],[[1.07304318]],[[0.89642383]],[[0.87576475]],[[1.83339354]],[[1.45272737]],[[0.32428157]],[[0.25583649]],[[0.85538098]],[[0.77064063]],[[1.57437422]],[[0.76100012]],[[1.64267814]],[[1.12370759]]
['NEK5'],[[0.85481951]],[[0.37277555]],[[1.45311159]],[[1.24137452]],[[0.39259011]],[[0.81323283]],[[0]],[[0.65529814]],[[0.50690493]],[[0]],[[0.38478642]],[[0.75415869]],[[0.40709858]]
['FAM196B'],[[1.59518434]],[[0.796684]],[[1.45311159]],[[2.08354193]],[[1.43815941]],[[1.53249711]],[[2.27016838]],[[1.67230511]],[[1.43620569]],[[2.09187253]],[[1.0217548]],[[1.13938676]],[[1.07513308]]
['MIR505'],[[1.74769653]],[[1.30696619]],[[1.20381792]],[[1.1375414]],[[0.77247099]],[[0.70571575]],[[1.71996174]],[[1.07458192]],[[0.71551199]],[[1.71550131]],[[1.21189872]],[[0.80540174]],[[0.57095095]]
['RPL31P52'],[[2.9519177]],[[2.43899033]],[[2.16219659]],[[2.78301161]],[[2.15858375]],[[2.86978011]],[[2.02113667]],[[1.84774828]],[[1.63679204]],[[0]],[[2.62091104]],[[1.41154254]],[[0.90156783]]
['HCG20'],[[1.88561645]],[[1.98127324]],[[0.90225861]],[[2.23328999]],[[1.98204669]],[[1.17753976]],[[1.71996174]],[[1.74539396]],[[1.51791097]],[[0.72473943]],[[0.95170421]],[[1.27130453]],[[1.02408237]]
['AC067945.1'],[[1.68683688]],[[1.8601475]],[[1.80227414]],[[1.78434705]],[[1.45041615]],[[0.97452054]],[[1.19509133]],[[1.04131234]],[[0.81555153]],[[0.75786847]],[[1.15634404]],[[1.18004192]],[[1.09854684]]
['AC015691.1'],[[1.23115825]],[[3.29942666]],[[2.16219659]],[[2.63005734]],[[2.78536165]],[[1.17753983]],[[1.33886255]],[[2.46643248]],[[2.00955382]],[[1.20489446]],[[1.50246495]],[[2.09981533]],[[2.32363828]]
['AC244502.1'],[[1.62174896]],[[0.9875425]],[[1.0609031]],[[1.29607927]],[[1.05089065]],[[0.70571577]],[[1.01412557]],[[1.09679171]],[[0.95538334]],[[0.98470106]],[[1.21710181]],[[1.17048589]],[[0.93909346]]
['RNU6-1294P'],[[2.51511671]],[[2.78593311]],[[0.90225861]],[[2.26902891]],[[1.58516211]],[[1.81713827]],[[0.8194713]],[[1.16711653]],[[1.10156552]],[[1.56452765]],[[1.04925808]],[[1.23762849]],[[1.0556615]]
['AC009054.1'],[[0.74310739]],[[0.98754254]],[[0.65930942]],[[0.89078196]],[[0.84834982]],[[1.53249723]],[[0.5943949]],[[0.64407823]],[[0.35580383]],[[0]],[[0.94734054]],[[0.68838962]],[[0.42646057]]
['AC026803.1'],[[2.33418544]],[[3.67735666]],[[3.40038572]],[[3.62550645]],[[3.66132128]],[[2.05476833]],[[2.83148632]],[[1.36893931]],[[1.5940223]],[[1.85216202]],[[2.12346187]],[[2.45566301]],[[1.93137481]]
['AC007598.1'],[[0.31615706]],[[0.95466657]],[[1.07449635]],[[0.87819596]],[[0.50964294]],[[0.65406366]],[[0.87521571]],[[0.80629341]],[[0.40404445]],[[0.67199486]],[[0.56801695]],[[0.78826404]],[[0.62727055]]
['SUB1P3'],[[2.33418544]],[[2.22820848]],[[0]],[[2.56417025]],[[2.26450215]],[[1.53249711]],[[2.02113709]],[[2.04308983]],[[1.21818097]],[[0]],[[0.5441217]],[[1.28002034]],[[1.46455892]]
['AP000365.1'],[[1.23115828]],[[1.98127324]],[[2.63550789]],[[2.64560025]],[[1.37674494]],[[0.70571588]],[[0]],[[1.70193991]],[[1.54512678]],[[0.72473943]],[[1.12609351]],[[1.78879176]],[[1.43087796]]
['AL022067.1'],[[1.59518434]],[[1.91231952]],[[1.45311142]],[[2.17870385]],[[2.0564058]],[[0.96083078]],[[1.22547714]],[[1.01856312]],[[0.84943336]],[[0.98470093]],[[0.74629102]],[[0.82757071]],[[0.98450383]]
['RNU6-94P'],[[2.51511671]],[[2.93242628]],[[2.16219675]],[[2.22258001]],[[2.07913124]],[[0.70571588]],[[2.02113709]],[[1.28760296]],[[1.1598485]],[[1.20489477]],[[0.86454722]],[[1.04240088]],[[1.2200621]]
['AC103724.4'],[[1.59518434]],[[2.22820848]],[[1.45311159]],[[2.00242663]],[[1.25215101]],[[1.17753976]],[[0.8194713]],[[0.94287944]],[[0.55153438]],[[0]],[[1.04925808]],[[1.06778985]],[[1.23386325]]
['AL139035.1'],[[1.88561629]],[[1.30696649]],[[2.63550771]],[[2.70151689]],[[1.33897372]],[[1.81713782]],[[1.33886255]],[[2.62236622]],[[1.71364642]],[[1.85216216]],[[2.48992109]],[[2.52359225]],[[2.42911377]]
