N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
10,0.0229328586291105,0.7207794918561068,0.0227783681979182,0.7254173240683384,0.0611218744404378,80
20,0.0164819148048709,0.8091228206244729,0.0171450797622565,0.8021250426909212,0.0694096346570671,80
30,0.0126059769068197,0.8578381472736839,0.0131473197266817,0.8523664420108447,0.072727608606311,80
40,0.0099396593520218,0.8898030869191791,0.0107185793852003,0.8815085591910199,0.0744988704459297,80
50,0.0082639666451771,0.9093172348394152,0.0090832145561066,0.9005973384604926,0.0752636422639957,80
60,0.0070118070094251,0.9236299793378906,0.0077714111960218,0.9156379870299656,0.076550493561316,80
70,0.0064337951885467,0.9301626398013614,0.0072346500961964,0.9216918084759482,0.0771710923914522,80
80,0.0055443321038116,0.9401266381185526,0.0062476393397102,0.9327837195787518,0.0770879721207384,80
90,0.0050153562842363,0.9460026055912144,0.0057199818908147,0.9386318336718756,0.0771038956588974,80
100,0.0046599921900652,0.9499296370212812,0.0054024026013799,0.9421731898061928,0.0775795067602004,80
150,0.0031739869782357,0.9661781980283493,0.0038992250585512,0.9586000795813552,0.0780122718594392,80
200,0.0024110833003042,0.9744148303546382,0.0033134895901506,0.9649388922016676,0.0781907798489761,80
250,0.0019994728647758,0.9788299672658456,0.0028821301729543,0.9695975378592248,0.0782271642146653,80
300,0.0016933395150332,0.9821008343372158,0.0026531245020098,0.972049124111766,0.0782307719736314,80
2,0.0354637794254781,0.5075235962215797,0.0356219514322174,0.5069929779300636,0.0486219574006467,20
3,0.0357938358713489,0.500592306774395,0.0362458466624837,0.4939911015772232,0.0521202794618012,20
4,0.0294082515350386,0.6199065708522544,0.0300321748438995,0.6112579684022433,0.0560060280716332,20
5,0.0307636378456332,0.5965785581479934,0.0304420423831238,0.6042552172005388,0.0573392961250261,20
6,0.0284664790797774,0.6356119703749017,0.0284225317004122,0.638095200737406,0.0604582100177106,20
7,0.029114001425099,0.6248559830592473,0.0292706973322129,0.6240788506161918,0.0599225972870583,20
8,0.0262483803308091,0.6711485286995282,0.0260930125973444,0.6751526331676589,0.0621994980228595,20
9,0.0254650957414094,0.6832567631055235,0.0260257499292928,0.6761596405597488,0.0632165643638272,20
10,0.0229475087959214,0.7207984105707421,0.0235123930693541,0.7138605464650776,0.0636693009955705,20
20,0.0171827139013232,0.8001545419001571,0.018050295237164,0.7896768204710434,0.0687968572782142,20
30,0.012068303234193,0.8644807927200595,0.012516047400989,0.8596296432658614,0.0726379175532796,20
40,0.010509829018924,0.8831515559299172,0.0108806080205551,0.8792423061441912,0.0750226493563993,20
50,0.008349653788013,0.9083964442189904,0.008997318603085,0.901345501395307,0.0758321465017216,20
60,0.0068809102468133,0.9251675691015144,0.0074028987941538,0.9195652701929368,0.0761322393242069,20
70,0.0063473334219204,0.9311855201525792,0.0070316949430695,0.923773160229724,0.0770804342657714,20
80,0.0057988400118843,0.9373314321519168,0.0065578232294244,0.9291669809532216,0.0774717252474893,20
90,0.0051456956298067,0.944597819296811,0.005980697582209,0.9355969007467456,0.0773397050352243,20
