['CFLAR'],[[1.03441706]],[[2.04367008]],[[2.2928558]],[[2.23053568]],[[2.14455489]],[[1.77019238]],[[1.50095839]],[[1.23806943]],[[1.18008978]],[[1.06630404]],[[0.84003819]],[[1.02534307]],[[0.84546046]]
['VNN3'],[[1.23926086]],[[2.00255085]],[[2.20999393]],[[2.20197917]],[[2.09721978]],[[1.45307205]],[[1.219244]],[[0.95529365]],[[0.92400032]],[[1.12076345]],[[0.89605599]],[[0.89081652]],[[0.74768533]]
['JAK2'],[[1.13111432]],[[2.04733257]],[[1.97756076]],[[1.88725695]],[[2.12796348]],[[2.00658054]],[[1.44487694]],[[1.22773473]],[[1.23635718]],[[1.16451842]],[[0.99134125]],[[1.07712281]],[[1.00938992]]
['SH3GLB1'],[[1.04043864]],[[2.29551935]],[[2.34585848]],[[2.27110441]],[[2.31231916]],[[1.94874056]],[[1.37392518]],[[1.25030446]],[[1.23427525]],[[1.03666348]],[[0.90609642]],[[1.03896389]],[[0.89258355]]
['GADD45B'],[[0.98966049]],[[2.01548181]],[[2.0618199]],[[1.91672357]],[[1.99338195]],[[1.51097571]],[[1.15392949]],[[1.22035283]],[[1.44367837]],[[1.06370075]],[[1.0753285]],[[1.31372675]],[[1.16562554]]
['PACSIN2'],[[1.05043878]],[[2.00742506]],[[2.06888858]],[[2.05137324]],[[1.8958997]],[[1.66995203]],[[1.36954356]],[[1.17145296]],[[1.21491999]],[[1.12821876]],[[0.90632484]],[[1.0489278]],[[0.85707153]]
['BIK'],[[0.96250816]],[[2.29234561]],[[1.81368716]],[[1.76941536]],[[1.76177151]],[[2.01706275]],[[1.03839019]],[[1.00818503]],[[0.96648915]],[[1.39760136]],[[1.11841454]],[[0.98230143]],[[0.95538724]]
['MTMR3'],[[1.09779284]],[[1.91079992]],[[1.99842274]],[[1.93645647]],[[1.94429112]],[[1.57066041]],[[1.38089573]],[[1.20617529]],[[1.21365442]],[[1.15678268]],[[0.92585508]],[[1.06498412]],[[0.91735778]]
['VCPKMT'],[[1.08395006]],[[1.91669367]],[[1.9194235]],[[2.01249848]],[[2.0448737]],[[1.80678793]],[[1.39178043]],[[1.05998278]],[[1.07398134]],[[1.04820818]],[[0.95229918]],[[1.07909343]],[[0.91525138]]
['SOS2'],[[1.02864404]],[[2.17295248]],[[2.18930524]],[[2.18927336]],[[2.25867427]],[[1.96737285]],[[1.44319837]],[[1.16344241]],[[1.13394931]],[[1.04975166]],[[0.92011308]],[[1.06215354]],[[0.90398204]]
['HIF1A'],[[1.03516964]],[[2.0476382]],[[2.09688299]],[[2.0328374]],[[2.23895344]],[[1.48222187]],[[1.24593744]],[[1.1584104]],[[1.08691429]],[[1.01833063]],[[0.99614707]],[[1.12121025]],[[0.94931505]]
['DICER1'],[[1.10560347]],[[2.14842541]],[[2.09625874]],[[1.9954454]],[[1.97794256]],[[1.45877249]],[[1.32990614]],[[1.10554064]],[[1.06923185]],[[1.15687499]],[[0.87925193]],[[0.95238162]],[[0.84748051]]
['PCNX1'],[[1.19335362]],[[2.22635659]],[[2.27804579]],[[2.17671365]],[[2.23133223]],[[1.76595866]],[[1.24638985]],[[1.02884287]],[[1.03681664]],[[1.15340037]],[[0.9395348]],[[1.06881189]],[[0.91058404]]
['RNF24'],[[1.01778598]],[[2.10577656]],[[2.27157396]],[[2.16567034]],[[2.10266125]],[[1.8620559]],[[1.46602206]],[[1.24505014]],[[1.24014752]],[[1.0851031]],[[0.77644671]],[[0.93495718]],[[0.77418017]]
['HCK'],[[1.0082881]],[[2.0887126]],[[2.28693282]],[[2.22479045]],[[2.08700494]],[[1.94171024]],[[1.6643676]],[[1.40731564]],[[1.47670346]],[[1.12723146]],[[0.88422558]],[[1.08881504]],[[0.89029007]]
['VAPA'],[[1.03299416]],[[2.18705304]],[[2.18803507]],[[2.12012708]],[[2.30257945]],[[1.73934809]],[[1.30590929]],[[1.20307746]],[[1.09704331]],[[1.07837306]],[[0.90605376]],[[1.09883953]],[[0.93411467]]
['STS'],[[1.08945881]],[[2.46445903]],[[2.40170908]],[[2.1438667]],[[2.33001056]],[[1.38530575]],[[1.38362574]],[[1.24198475]],[[1.14172628]],[[1.31745519]],[[0.97033542]],[[1.18658973]],[[1.0010499]]
['RUBCNL'],[[0.9572315]],[[2.27533242]],[[2.35579272]],[[2.15763468]],[[2.24306655]],[[1.64987014]],[[1.17993063]],[[1.05665461]],[[1.01167741]],[[1.1693687]],[[1.07490428]],[[1.14797679]],[[0.92839038]]
['TNFSF13B'],[[0.89832544]],[[2.26160324]],[[2.34818078]],[[2.35335731]],[[2.59429434]],[[2.36833167]],[[1.57719606]],[[1.35091184]],[[1.3877032]],[[1.03251019]],[[0.95117355]],[[1.25374179]],[[0.9329167]]
['VWA8'],[[1.0245448]],[[2.78493179]],[[2.70573103]],[[2.62087451]],[[2.48288372]],[[0.90522409]],[[0.85572258]],[[0.91434351]],[[0.82106326]],[[0.84413373]],[[1.09861732]],[[1.21427419]],[[1.06603004]]
['STK3'],[[0.88486654]],[[1.83427784]],[[2.0614781]],[[2.22920649]],[[2.61368379]],[[1.77277953]],[[1.37183262]],[[1.19806335]],[[1.14399842]],[[1.02971448]],[[0.82492792]],[[0.97268857]],[[0.85761211]]
['DENND3'],[[1.20455113]],[[1.82479262]],[[1.96205162]],[[1.93968832]],[[1.77730528]],[[1.65905046]],[[1.40301182]],[[1.09454826]],[[1.20752492]],[[1.1690983]],[[0.85355422]],[[0.94714992]],[[0.7789019]]
['JAK3'],[[1.00849673]],[[2.22903791]],[[2.4763512]],[[2.47257482]],[[2.24961489]],[[1.70577742]],[[1.61476625]],[[1.39399917]],[[1.45587256]],[[1.09735194]],[[0.97744384]],[[1.18376708]],[[0.98512938]]
['VSIR'],[[1.31387227]],[[2.0752608]],[[2.19497065]],[[2.13003244]],[[1.99253382]],[[1.55281312]],[[1.51730413]],[[1.27588977]],[[1.26790639]],[[1.26907979]],[[0.93263562]],[[1.10140641]],[[0.89209644]]
['WSB1'],[[1.11916811]],[[2.04390429]],[[2.10172541]],[[1.99169481]],[[2.23179411]],[[2.03038947]],[[1.46745229]],[[1.12856199]],[[1.15165544]],[[1.14811804]],[[1.01049843]],[[1.11516123]],[[0.97932687]]
['HIPK3'],[[0.95966721]],[[2.00034977]],[[2.00106085]],[[1.94748991]],[[1.99747401]],[[1.63567676]],[[1.32183438]],[[1.15524279]],[[1.12791539]],[[1.04334784]],[[0.84566729]],[[1.00236094]],[[0.87047217]]
['PPM1H'],[[1.19887499]],[[2.15134211]],[[2.12994658]],[[1.90871653]],[[1.45390913]],[[1.26998748]],[[1.49220523]],[[1.30521331]],[[1.39766618]],[[1.40493067]],[[0.99610517]],[[1.06367145]],[[0.95173102]]
['TBC1D30'],[[1.21919847]],[[2.31713218]],[[2.34874459]],[[2.42760135]],[[2.33042044]],[[1.88838126]],[[1.592889]],[[1.23968669]],[[1.24434129]],[[0.93764121]],[[1.34160482]],[[1.3718169]],[[1.13326316]]
