['NDUFAF7'],[[1.32667604]],[[1.81263581]],[[1.96348333]],[[2.04357273]],[[1.6752644]],[[1.25086506]],[[1.16771316]],[[0.82483314]],[[0.80081442]],[[0.9905659]],[[0.91579102]],[[0.84412173]],[[0.87862028]]
['PPEF1'],[[0.79050667]],[[1.2566314]],[[1.18675136]],[[1.24642206]],[[1.66161276]],[[1.109815]],[[0.47509996]],[[0.9268051]],[[1.00231224]],[[1.16227009]],[[0.84190311]],[[0.99650093]],[[0.90413093]]
['PPP1R15A'],[[1.30262588]],[[2.17351591]],[[2.02602515]],[[2.13079567]],[[1.94114951]],[[1.31649686]],[[1.43138146]],[[1.07935741]],[[1.09255117]],[[1.4987008]],[[1.15866479]],[[1.08918498]],[[1.13778906]]
['ERGIC2'],[[1.49855522]],[[1.79156099]],[[2.27427264]],[[2.13316167]],[[1.85640503]],[[1.37126393]],[[1.40565136]],[[1.04256569]],[[0.96813963]],[[1.25213581]],[[1.03046817]],[[0.87776404]],[[1.01221497]]
['SPTLC1'],[[1.37472513]],[[1.67658771]],[[1.81804743]],[[1.7436962]],[[1.79940894]],[[1.34257835]],[[1.34766523]],[[1.11446615]],[[1.09814581]],[[1.34624705]],[[1.07423139]],[[1.04834684]],[[1.10667187]]
['SLC7A8'],[[2.08115128]],[[2.55159022]],[[2.42658973]],[[2.31339439]],[[2.82701604]],[[0.89130024]],[[0.41608105]],[[0.84458037]],[[1.64550356]],[[2.16669042]],[[1.12313745]],[[1.34489718]],[[1.53029585]]
['MAST3'],[[1.60601145]],[[1.91867542]],[[1.82431017]],[[1.88839521]],[[1.87183193]],[[1.18910874]],[[1.14608588]],[[0.95741168]],[[1.18755077]],[[1.54500379]],[[1.21702968]],[[0.9735]],[[1.21893462]]
['MKNK2'],[[1.25728038]],[[1.83189377]],[[1.63966696]],[[1.71849846]],[[1.73547235]],[[1.25514822]],[[1.0400564]],[[0.95942376]],[[1.19845216]],[[1.56485281]],[[1.07206039]],[[0.97218849]],[[1.10029023]]
['RBM23'],[[1.50446343]],[[1.77598341]],[[1.73154749]],[[1.82329781]],[[1.73798754]],[[1.36697819]],[[1.2614838]],[[1.06184043]],[[1.03002237]],[[1.30995109]],[[1.05474926]],[[0.99205026]],[[1.04085954]]
['NIN'],[[1.58099407]],[[1.78211567]],[[1.82656224]],[[1.86781787]],[[1.71375094]],[[1.4552836]],[[1.43366961]],[[1.09955742]],[[1.05382374]],[[1.24545672]],[[1.00964875]],[[0.9827604]],[[0.98424809]]
['SUSD6'],[[1.65368088]],[[1.9063463]],[[1.84659631]],[[1.89961331]],[[1.80878457]],[[1.51151691]],[[1.41780389]],[[1.18529529]],[[1.12447524]],[[1.43555594]],[[1.15003252]],[[1.09146125]],[[1.12425659]]
['GMPR2'],[[1.26597128]],[[1.86920569]],[[1.76696391]],[[1.78042512]],[[1.87437381]],[[1.51225279]],[[1.33568036]],[[1.21325278]],[[1.17560351]],[[1.39270355]],[[1.10896467]],[[1.05044843]],[[1.11077416]]
['MAP1LC3A'],[[1.72012782]],[[2.107319]],[[1.84445675]],[[2.09382041]],[[1.58034717]],[[0.64978128]],[[0.72845723]],[[0.72710758]],[[0.74472572]],[[1.2331504]],[[0.76485554]],[[1.06431646]],[[0.9136974]]
['TBL1X'],[[1.5826358]],[[1.7435725]],[[1.64344651]],[[1.70998382]],[[1.62527153]],[[1.47877224]],[[1.33912947]],[[1.08062589]],[[1.0911456]],[[1.36489454]],[[1.03761576]],[[0.90951071]],[[1.03142005]]
['FNDC3A'],[[1.68256857]],[[1.99779655]],[[1.97429573]],[[1.89972758]],[[1.62090311]],[[1.22118003]],[[1.20869755]],[[1.09836319]],[[0.95749618]],[[1.17686366]],[[0.97874233]],[[0.97129268]],[[0.97612311]]
['KLF5'],[[1.64319127]],[[1.75995224]],[[1.63844377]],[[1.71700718]],[[1.56033525]],[[1.52150596]],[[1.02859599]],[[0.93157877]],[[0.95961821]],[[1.28012306]],[[0.96668289]],[[0.9654163]],[[0.90075163]]
['PARP4'],[[1.88328892]],[[2.08719494]],[[2.06897134]],[[2.01309041]],[[1.90778907]],[[1.39960276]],[[1.32952982]],[[1.08525155]],[[1.02424787]],[[1.21150614]],[[1.00972144]],[[1.02885325]],[[1.0081002]]
['SUPT20H'],[[1.3208091]],[[1.69308021]],[[1.92704636]],[[1.87942308]],[[1.90551876]],[[1.30449015]],[[1.33740366]],[[1.01769507]],[[0.98086981]],[[1.28017424]],[[1.02799196]],[[0.93410739]],[[1.03713559]]
['INTS6'],[[1.27371095]],[[1.87129776]],[[2.11569858]],[[1.98949566]],[[1.79214579]],[[1.21631938]],[[1.28407134]],[[0.99993709]],[[0.90260935]],[[1.14881383]],[[0.96971943]],[[0.90179331]],[[0.91563734]]
['DHRS12'],[[1.46119359]],[[1.72536013]],[[1.74458051]],[[1.75072173]],[[2.2069674]],[[1.36203584]],[[1.25299199]],[[1.06866875]],[[1.23828337]],[[1.34919957]],[[1.05049509]],[[0.83137203]],[[1.12849822]]
['LYRM1'],[[1.27013533]],[[1.96612531]],[[1.8597328]],[[2.02533891]],[[2.06649289]],[[1.43467143]],[[1.34876946]],[[1.19966738]],[[1.17611942]],[[1.37562122]],[[1.11375635]],[[1.14300331]],[[1.10564059]]
['LONP2'],[[1.30493302]],[[1.67570264]],[[1.71557958]],[[1.70426499]],[[1.53112251]],[[0.89075012]],[[0.90709854]],[[0.94288228]],[[0.85578765]],[[1.05428459]],[[0.98599701]],[[0.96227042]],[[0.95003071]]
